grp , pp , S , IDR , IDL , decTimeL , MTL , peakVelR , maxangleR , rho , circularityR , accQL , accTimeR , q4L , Rf , q2L , IPerfEfL , q3L , accQR , q2R , flsAmp , peakVelL , phDiffStd , MTR , decTimeR , IPerfR , IPerfL , circularityL , phDiffMean , IPerfEfR , q3R , maxangleL , flsPC , q1L , accTimeL , q4R , q1R , Lf
2,1,1,3,2,0.5517,0.42368,0.36002,0.12533,1,0.87181,1.2903,0.43038,0.95258,1.3363,0.80979,7.4781,0.79904,1.3759,0.8031,0.17507,0.34266,0.0056162,0.42319,0.57206,6.3378,6.3185,0.87154,0.18653,7.0785,0.80478,0.10555,0.17401,0.90096,0.45073,0.95581,0.89385,1.3363
2,1,4,1,1,0.47664,1.8268,0.14705,0.18352,1,0.59455,1.1888,0.52826,0.63347,0.23542,0.61176,8.3512,0.6907,1.1236,0.61082,0.08773,0.15029,0.0012266,1.6228,0.47356,9.6873,8.2747,0.56984,0.04953,11.387,0.79235,0.21171,0.17549,0.75911,0.52492,0.6236,0.77295,0.23542
2,1,4,1,1,0.48075,1.683,0.15764,0.41496,1,0.6639,1.1756,0.5359,0.68014,0.30518,0.63703,3.4136,0.74212,1.0821,0.50915,0.10138,0.20384,0.00098698,1.2354,0.4666,13.252,3.2766,0.68807,0.023348,14.992,0.7789,0.29287,0.17668,0.76581,0.51987,0.54285,0.74021,0.30518
2,1,4,1,1,0.45191,1.6333,0.1675,0.35216,1,0.69302,1.0484,0.53668,0.57158,0.27902,0.65105,7.1532,0.74538,1.0612,0.63131,0.10186,0.18552,0.0015554,1.3716,0.46617,15.197,6.6735,0.68872,0.050834,17.143,0.81007,0.27267,0.17531,0.74745,0.54934,0.60281,0.6474,0.27902
2,1,4,1,2,0.48553,1.0864,0.22639,0.66081,1,0.73935,1.2317,0.50179,0.60965,0.46064,0.58742,3.9008,0.88129,1.3217,0.51322,0.14789,0.21844,0.0014312,1.0848,0.49914,4.9257,2.4051,0.71194,0.01859,5.3713,0.74797,0.48729,0.17454,0.9381,0.51539,0.53793,0.8245,0.46064
2,1,4,1,2,0.46289,1.1824,0.21908,0.36781,1,0.62627,1.1881,0.52696,0.66146,0.41853,0.55093,3.0662,0.77356,1.1874,0.54897,0.14449,0.20648,0.0034733,1.129,0.47447,7.6129,2.2399,0.69461,0.040004,8.5483,0.80214,0.29117,0.1727,0.88419,0.53797,0.58099,0.75716,0.41853
2,1,4,1,2,0.47972,1.0556,0.21489,0.50692,1,0.68227,1.2423,0.5208,0.66197,0.48828,0.65133,4.2331,0.83382,1.1716,0.53264,0.14912,0.21231,0.0016232,1.0548,0.48016,5.105,2.4801,0.75411,0.029539,5.335,0.79145,0.43546,0.17557,0.94892,0.52124,0.57863,0.75085,0.48828
2,1,4,2,1,0.46524,1.4027,0.18331,0.41369,1,0.67803,1.1479,0.54457,0.51335,0.32018,0.60073,6.1744,0.83138,1.0784,0.59488,0.10102,0.19126,0.0010411,1.236,0.45726,7.3232,5.5261,0.67259,0.051914,8.799,0.85284,0.44777,0.17671,0.64297,0.53579,0.54804,0.72923,0.32018
2,1,4,2,1,0.48545,1.1829,0.19787,0.33076,1,0.71489,1.2397,0.50143,0.57518,0.43035,0.62734,6.8319,0.83608,1.2819,0.62195,0.12836,0.18551,0.0015662,1.1814,0.49997,5.6199,6.9485,0.69769,0.086871,6.8383,0.86195,0.47385,0.17677,0.77955,0.51585,0.59026,0.7576,0.43035
2,1,4,2,1,0.47983,1.1972,0.20969,0.30634,1,0.66898,1.2878,0.50286,0.58743,0.42093,0.58101,4.6884,0.73737,1.2745,0.58553,0.12035,0.21046,0.0015614,1.1516,0.49822,4.3031,4.4868,0.70882,0.090045,5.2469,0.82958,0.30125,0.1763,0.86178,0.52101,0.51573,0.78967,0.42093
