grp , pp , S , ID , Uq1R , UaccTimeR , Uq3R , UdecTimeR , UpeakVelR , UmaxangleR , UIPerfR , UcircularityR , UMTR , Uq2R , UIPerfEfR , UaccQR , Uq4R
1,2,4,3,0.80625,0.51022,0.86021,0.49385,0.56392,0.18766,10.599,0.88601,0.25193,0.91488,13.373,0.99125,0.84037
1,2,4,3,0.81799,0.50964,0.84246,0.49543,0.70216,0.073633,13.179,0.86702,0.19952,0.92649,17.388,1.0005,0.91268
1,2,7,1,0.93337,0.48648,0.85371,0.51637,0.15948,0.25831,15.163,0.83296,0.68833,0.67222,14.305,1.3022,0.70277
1,2,7,1,0.75861,0.4919,0.6822,0.50939,0.21842,0.23431,6.8528,0.74255,0.77929,0.66572,6.8991,1.2065,0.62689
1,2,7,1,0.7541,0.48551,0.71951,0.51624,0.19814,0.28807,9.2971,0.7549,0.79776,0.71528,8.5806,1.1483,0.6734
1,2,7,2,0.77598,0.51079,0.83213,0.49212,0.43642,0.16246,11.635,0.84706,0.34535,0.8696,12.418,0.98092,0.85552
1,2,7,2,0.75675,0.527,0.85564,0.47589,0.42901,0.21279,11.558,0.82047,0.34752,0.84223,12.38,0.91714,0.81771
1,2,7,2,0.8063,0.51367,0.863,0.48964,0.45048,0.17092,13.269,0.85075,0.31143,0.84016,12.823,0.98584,0.88252
1,2,7,3,0.78791,0.53337,0.7861,0.47148,0.64352,0.10631,12.596,0.84912,0.21634,0.85807,13.623,0.89951,0.85427
1,2,7,3,0.78789,0.54639,0.79905,0.46008,0.74683,0.13796,16.813,0.82734,0.1675,0.92154,18.89,0.86989,0.77742
1,2,7,3,0.86525,0.5518,0.9221,0.45432,0.73489,0.18728,15.903,0.88925,0.1639,0.92231,20.74,0.82831,0.86875
1,3,1,1,0.62417,0.49438,0.67717,0.50997,0.16517,0.35571,23.161,0.64743,0.76146,0.58215,21.82,1.1099,0.5428
1,3,1,1,0.8303,0.49112,0.6345,0.51185,0.20278,0.3061,15.817,0.66357,0.86825,0.56639,14.544,1.1419,0.58184
1,3,1,1,0.76937,0.50991,0.68747,0.49238,0.21899,0.25466,12.202,0.6645,0.95396,0.56294,12.777,1.0853,0.57951
1,3,1,2,0.79463,0.52116,0.85177,0.48084,0.22949,0.26895,7.9862,0.77388,0.7526,0.70325,7.9581,1.0295,0.66128
1,3,1,2,0.88378,0.49205,0.74493,0.51001,0.25085,0.38621,8.2317,0.78586,0.67746,0.68167,8.6711,1.1204,0.73842
1,3,1,2,0.91381,0.49003,0.85903,0.51164,0.25837,0.46566,6.6703,0.77218,0.67835,0.59769,6.7857,1.1585,0.7091
1,3,1,3,0.80975,0.50966,0.85804,0.4922,0.27768,0.13586,4.8488,0.79798,0.55437,0.82268,6.4624,1.0361,0.77592
1,3,1,3,0.88868,0.48493,0.83375,0.51735,0.31755,0.24362,5.9108,0.81777,0.44181,0.81904,7.7727,1.0959,0.7839
1,3,1,3,0.86104,0.52294,0.79933,0.47991,0.34574,0.23777,7.4071,0.84612,0.35307,0.8172,11.159,0.93664,0.83004
1,3,4,1,0.57316,0.52287,0.61607,0.48272,0.20357,0.1648,29.732,0.63411,0.63004,0.62873,26.712,1.0026,0.57438
1,3,4,1,0.57316,0.49508,0.63275,0.50705,0.24976,0.42744,11.336,0.58247,0.84942,0.58811,10.817,1.1097,0.56444
1,3,4,1,0.71251,0.49003,0.7547,0.51348,0.22548,0.37979,18.699,0.70781,0.70439,0.62174,18.073,1.1327,0.61744
1,3,4,2,0.68915,0.52819,0.86158,0.47662,0.26191,0.31769,19.235,0.78047,0.4997,0.71941,20.19,0.97885,0.59815
1,3,4,2,0.66288,0.5319,0.89381,0.47224,0.31561,0.27528,16.552,0.69626,0.5236,0.66383,18.741,0.95217,0.64626
1,3,4,2,0.66312,0.52141,0.85716,0.48107,0.29872,0.33468,9.9241,0.72716,0.58594,0.66337,10.684,0.97484,0.62552
1,3,4,3,0.75639,0.55507,0.90841,0.44796,0.42872,0.16884,7.8682,0.80265,0.34285,0.88073,9.9409,0.81933,0.78006
1,3,4,3,0.87316,0.54696,0.94399,0.45616,0.41073,0.26387,8.1061,0.88326,0.32134,0.84937,11.128,0.83773,0.84585
1,3,4,3,0.89602,0.54087,0.9138,0.46218,0.41381,0.28393,7.9177,0.90228,0.32883,0.89076,11.382,0.86001,0.79561
1,3,7,1,0.54101,0.49118,0.62582,0.51216,0.2253,0.26726,17.758,0.59289,0.72244,0.62868,16.032,1.1265,0.54694
1,3,7,1,0.57462,0.49676,0.63346,0.50627,0.24614,0.43459,16.136,0.65855,0.72575,0.53633,15.597,1.0873,0.56442
1,3,7,1,0.61988,0.51619,0.79213,0.48726,0.24489,0.30816,18.356,0.68477,0.71216,0.68559,16.735,1.0048,0.63834
1,3,7,2,0.64247,0.51623,0.70226,0.48554,0.34743,0.30756,7.0684,0.70344,0.57792,0.65404,7.6994,0.97821,0.69747
1,3,7,2,0.82633,0.52772,0.76545,0.47435,0.38145,0.36141,8.2666,0.76984,0.48631,0.73386,8.8227,0.92559,0.74654
1,3,7,2,0.70458,0.5166,0.7951,0.48537,0.35618,0.40619,7.8523,0.71281,0.51216,0.66726,8.6157,0.95833,0.674
1,3,7,3,0.87102,0.55804,0.95404,0.44535,0.45899,0.21311,8.804,0.89481,0.29793,0.86871,12.267,0.80415,0.86327
1,3,7,3,0.868,0.56982,0.93223,0.43321,0.43458,0.17911,7.8815,0.87904,0.33129,0.88487,10.064,0.76596,0.87395
1,3,7,3,0.93478,0.55765,0.8517,0.44574,0.47276,0.2509,8.8036,0.89728,0.29664,0.87589,12.178,0.80602,0.85497
2,4,1,1,0.80376,0.53092,0.94652,0.47062,0.21031,0.19069,8.2145,0.70762,0.84354,0.65374,8.0656,1.1089,0.59936
2,4,1,1,0.9908,0.51816,0.99844,0.48297,0.20551,0.46837,6.0346,0.82728,0.88482,0.62102,5.8933,1.1784,0.65394
2,4,1,1,0.93363,0.51801,0.95467,0.48307,0.19452,0.32333,5.7492,0.81137,0.93013,0.67367,5.5123,1.2098,0.68249
2,4,1,2,0.9059,0.53436,0.8786,0.46751,0.28874,0.23918,7.4636,0.86085,0.58126,0.72369,7.6935,0.91008,0.82717
2,4,1,2,0.99632,0.5257,0.91944,0.47609,0.29911,0.32366,7.1931,0.84915,0.55808,0.78015,7.4525,0.95231,0.82547
