grp , pp , S , ID , UIPerfEfL , Uq1L , UpeakVelL , Uq3L , Uq2L , Uq4L , UaccQL , UcircularityL , UIPerfL , UaccTimeL , UdecTimeL , UMTL , UmaxangleL
1,3,4,1,10.318,0.66242,0.20986,0.69832,0.6242,0.58845,1.1608,0.67315,10.2,0.49562,0.5063,0.9156,0.34627
1,3,4,1,9.0679,0.74504,0.20317,0.77033,0.67455,0.59495,1.114,0.70315,9.8419,0.50749,0.49436,0.88802,0.36877
1,3,4,2,9.1749,0.84088,0.39112,0.93073,0.91277,0.83865,0.87329,0.86864,7.289,0.53959,0.46322,0.36104,0.19378
1,3,4,2,10.364,0.86854,0.40707,0.90687,0.90559,0.85463,0.80348,0.86408,8.0096,0.55793,0.44516,0.32557,0.23059
1,3,4,2,8.984,0.83772,0.38578,0.89189,0.88851,0.84352,0.83718,0.86988,7.8055,0.54888,0.45412,0.33431,0.20585
1,3,7,1,17.889,0.52597,0.20218,0.70739,0.66147,0.55289,1.0303,0.65474,19.799,0.50804,0.49568,0.72032,0.39013
1,3,7,1,30.348,0.69994,0.14475,0.65539,0.65256,0.59845,1.0167,0.70367,33.38,0.51388,0.49239,0.52558,0.21745
1,3,7,1,24.881,0.71492,0.16268,0.78535,0.70069,0.64512,1.0398,0.69289,26.357,0.50984,0.49511,0.65768,0.23404
1,3,7,2,12.228,0.85968,0.46183,0.90471,0.90603,0.8177,0.8178,0.85826,8.6473,0.55501,0.44831,0.30543,0.14425
1,3,7,2,12.865,0.85354,0.51639,0.83901,0.92832,0.85233,0.82734,0.87542,9.6636,0.55324,0.45048,0.271,0.17586
1,3,7,2,13.341,0.90364,0.4941,0.88001,0.90785,0.8749,0.80578,0.89598,9.8856,0.55858,0.44522,0.26449,0.23423
2,4,1,1,6.2872,0.95532,0.19432,0.97588,0.60625,0.59329,1.3947,0.8161,6.5004,0.52378,0.47744,1.0609,0.23224
2,4,1,1,5.1503,1.0114,0.1876,0.92168,0.58117,0.61497,1.3714,0.76674,5.0996,0.51983,0.48113,1.0517,0.2297
2,4,1,1,4.514,1.0227,0.16626,0.97136,0.68589,0.66742,1.4201,0.76307,4.5732,0.52452,0.47634,1.1718,0.33011
2,4,1,2,8.1969,0.71359,0.4581,0.84955,0.84469,0.84696,0.88828,0.78668,7.2352,0.53656,0.46622,0.36949,0.14393
2,4,1,2,10.812,0.90096,0.58061,0.90664,0.91068,0.86039,0.86045,0.86163,9.5507,0.54083,0.46285,0.27369,0.1729
2,4,1,2,9.7845,0.78208,0.56272,0.94003,0.91423,0.78471,0.87786,0.85066,9.3288,0.53513,0.46846,0.28005,0.17929
2,4,4,1,4.4642,1.0071,0.15437,0.92966,0.59722,0.74319,1.3223,0.77787,4.4967,0.51148,0.48937,1.1876,0.32664
2,4,4,1,4.7152,0.92048,0.15535,1.0147,0.65357,0.63828,1.2971,0.8178,4.4872,0.52366,0.47719,1.1937,0.49575
2,4,4,1,4.7004,0.93722,0.16722,0.92337,0.63151,0.60629,1.3766,0.75525,4.4378,0.52048,0.48035,1.2043,0.46551
2,4,4,2,11.749,0.84788,0.57721,0.86247,0.87201,0.85929,0.88434,0.86415,9.3828,0.53389,0.46972,0.27931,0.16617
2,4,4,2,17.614,0.92567,0.67556,0.90162,0.86836,0.90142,0.97503,0.90326,12.744,0.51117,0.49373,0.20468,0.15864
2,4,4,2,17.032,0.76118,0.67913,0.94358,0.92981,0.88251,0.88053,0.9097,12.529,0.53803,0.46679,0.20807,0.19451
2,4,7,1,4.5142,0.91966,0.14673,1.008,0.73391,0.66946,0.99498,0.82253,4.4111,0.57148,0.42935,1.2206,0.23252
2,4,7,1,5.1008,0.80206,0.15661,1.0505,0.5233,0.77255,0.98434,0.82454,4.6341,0.56251,0.43836,1.1563,0.57979
2,4,7,1,4.7514,0.81927,0.1576,1.0361,0.64651,0.66678,1.1189,0.83633,4.4319,0.54189,0.45894,1.207,0.53179
2,4,7,2,11.141,0.79056,0.59757,0.96444,0.90586,0.90524,0.86495,0.89814,9.6757,0.53951,0.46422,0.27007,0.2053
