grp,pp,S,DID,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,1,1,1,1,1,1,1,0.78699,0.83886,2.1159,2.1159,2.6749,2.8351,0.61222,0.57371,0.252,0.245,0.129,0.13,0.122,0.118,0.51748,0.52564,10.315,10.61,10.615,11.572,0.77979,0.84408,0.096019,0.1672,0.80211,0.85148,0.78762,0.87486,0.73305,0.81758,0.80015,0.86064,0.16879,0.15779,0.74073,1,0.99637,0.80192,-0.0084648,0.016777,1.1605,0.87324,0.75409,0.011292,0.003,0.02381
1,2,2,2,1,1,1,1,1,1,0.85617,0.87082,1.0653,1.1097,3.4212,4.0307,0.34463,0.34316,0.469,0.463,0.227,0.227,0.251,0.24,0.46545,0.48276,5.5426,8.6393,7.2948,8.7055,0.85564,0.84679,0.12428,0.15553,0.91097,0.84638,0.85095,0.82185,0.8247,0.87418,0.83034,0.85831,0.25524,0.14831,0.75308,1,0.9942,0.99818,0.0061579,0.0063591,1.2245,0.80971,0.89832,0.015149,0.008,0.034115
1,2,2,2,1,1,1,1,1,1,0.84273,0.86969,1.3021,1.3021,3.7524,4.0428,0.4038,0.40636,0.387,0.384,0.188,0.195,0.198,0.19,0.49734,0.50949,6.717,10.417,9.6962,10.528,0.83611,0.85232,0.13303,0.11991,0.84901,0.85661,0.87998,0.86222,0.81355,0.85064,0.8095,0.84764,0.21249,0.37074,0.74816,1,0.98938,0.99296,-0.0053729,0.0061469,1.2125,0.86282,0.84883,-0.010626,0.002,0.010336
1,2,2,2,1,1,1,1,1,1,0.83995,0.85363,1.4361,1.4361,3.6601,4.1569,0.46497,0.4372,0.357,0.356,0.178,0.186,0.181,0.171,0.49448,0.52201,7.2814,11.236,10.253,11.677,0.85358,0.86913,0.12943,0.16365,0.86969,0.86326,0.90646,0.92089,0.83663,0.84628,0.81523,0.86275,0.14996,0.14107,0.75888,1,0.99915,0.94566,-0.028562,0.0041313,1.2212,0.81735,0.85614,-0.018073,0,0
1,2,2,3,0.030061,0.079752,0.026757,0.060165,0.032012,0.084435,0.71509,0.81576,0.61035,0.61035,3.6214,5.0607,0.29543,0.23593,0.849,0.816,0.253,0.237,0.558,0.584,0.31148,0.28436,3.0618,6.522,4.2654,6.2019,0.66901,0.75751,0.26552,0.30656,0.81063,0.92593,0.66873,0.69704,0.7656,0.92958,0.53602,0.6861,0.38465,0.60644,0.84696,1,0.97891,0.79696,-0.27647,0.023998,1.1231,0.51159,0.90744,-0.23865,-0.038,-0.089517
1,2,2,3,0.027753,0.037879,0.022364,0.038366,0.041653,0.031577,0.74569,0.75815,0.60096,0.60096,3.915,5.0746,0.29766,0.24113,0.874,0.855,0.247,0.235,0.616,0.615,0.28433,0.27184,2.9742,6.2245,4.4794,5.9352,0.66,0.69153,0.34652,0.34032,0.91027,0.86836,0.67137,0.60286,0.81394,0.86663,0.56659,0.59417,0.74832,0.46236,0.86375,1,0.99991,0.88018,-0.21393,0.01476,1.1036,0.40718,0.93165,-0.17935,-0.015,-0.034325
1,2,2,3,0.028104,0.035333,0.027275,0.026949,0.028476,0.040637,0.76941,0.81209,0.61678,0.61678,3.4655,5.2575,0.34621,0.31074,0.788,0.792,0.246,0.238,0.524,0.557,0.31351,0.29576,3.2988,6.7196,4.3979,6.6383,0.66434,0.72495,0.22995,0.30973,0.87123,0.90133,0.63759,0.68382,0.74509,0.91597,0.62497,0.66583,0.54349,3.0198,0.91862,1,0.99375,0.84628,-0.16025,0.0086858,1.1555,0.3419,1.0283,-0.12127,-0.039,-0.098985
1,2,3,1,1,1,1,1,1,1,0.77027,0.78424,1.7756,1.7756,2.4513,3.0149,0.70523,0.70712,0.209,0.206,0.109,0.109,0.107,0.104,0.51031,0.53409,12.438,12.619,11.729,14.636,0.74183,0.72127,0.077704,0.22211,0.84128,0.87925,0.73918,0.73505,0.68303,0.71359,0.79255,0.78151,0.1018,0.52963,0.78296,1,0.9919,0.89144,0.083173,0.0094679,1.1077,0.7268,0.77085,0.083157,0.006,0.057416
1,2,3,1,1,1,1,1,1,1,0.79583,0.80059,2.5391,2.5391,2.7579,3.6593,0.75029,0.78189,0.193,0.193,0.1,0.104,0.098,0.097,0.50515,0.53982,13.469,13.469,14.29,18.96,0.84668,0.83589,0.17619,0.071371,0.86757,0.81714,0.77849,0.78332,0.68863,0.78987,0.84161,0.83924,0.1239,0.087248,0.73784,1,0.99802,0.68443,0.01555,0.013999,1.1587,0.72448,0.80845,0.033944,0.003,0.031088
1,2,3,1,1,1,1,1,1,1,0.79914,0.77578,3.1738,3.1738,2.6896,2.8674,0.77114,0.81893,0.163,0.16,0.086,0.085,0.082,0.082,0.51095,0.52174,15.948,16.247,16.5,17.921,0.83882,0.72665,0.18804,0.20583,0.84128,0.87925,0.78762,0.78332,0.83995,0.8622,0.83882,0.72665,0.11081,0,0.68285,1,0.99283,0.53968,-0.08305,0.039924,1.1204,0.82866,0.70562,-0.062015,-0.009,-0.11043
