grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,3,2,1,0.8575,3.69,1.7439,0.47357,0.294,0.148,0.153,0.48288,8.8417,12.551,0.85579,0.1506,0.84913,0.88944,0.89532,0.85585,0.14431
1,3,3,2,1,0.82305,3.5015,1.8029,0.51127,0.266,0.138,0.132,0.52215,9.7724,13.163,0.81107,0.12782,0.8268,0.83253,0.81415,0.7756,0.17087
1,3,3,2,1,0.85849,3.4263,1.9531,0.48764,0.2625,0.1355,0.1325,0.50526,9.9027,13.053,0.87375,0.10737,0.86776,0.89746,0.89278,0.86833,0.17731
1,6,1,1,0.10341,0.86726,5.5479,0.36058,0.16216,1.278,0.487,0.817,0.36659,4.1643,4.3411,0.82786,0.27577,0.92137,0.77122,0.92614,0.76605,0.28097
1,6,1,1,0.1075,0.82529,5.4348,0.36058,0.16731,1.3285,0.505,0.849,0.37621,4.006,4.091,0.75778,0.33632,0.85298,0.69907,0.84446,0.70321,0.37606
1,6,1,1,0.11518,0.84399,5.3457,0.36227,0.1665,1.288,0.483,0.769,0.37939,4.1319,4.1504,0.78023,0.28489,0.83771,0.70465,0.83828,0.7392,0.25746
1,6,1,2,0.21307,0.74436,3.0553,0.561,0.18299,0.915,0.382,0.542,0.41301,2.8409,3.3391,0.74544,0.23336,0.8599,0.69488,0.71975,0.77424,0.31348
1,6,1,2,0.28219,0.8029,3.746,0.67817,0.22392,0.738,0.3,0.442,0.41484,3.5223,5.0759,0.78131,0.18048,0.85012,0.77172,0.77488,0.7427,0.25032
1,6,1,2,1,0.87387,3.797,0.73242,0.24106,0.679,0.292,0.3855,0.42956,3.8284,5.592,0.87008,0.16958,0.93927,0.86584,0.86754,0.82748,0.26227
1,6,2,1,0.091794,0.85568,5.7461,0.40303,0.18071,1.259,0.464,0.796,0.36356,4.2271,4.564,0.78691,0.3028,0.90805,0.72668,0.91888,0.74446,0.54108
1,6,2,1,0.095963,0.87356,5.9528,0.42969,0.18783,1.174,0.456,0.697,0.38379,4.5332,5.0705,0.81274,0.30489,0.92856,0.77585,0.91982,0.75528,0.39299
1,6,2,1,0.088539,0.86758,5.8596,0.43846,0.20341,1.124,0.435,0.697,0.38402,4.7348,5.2132,0.81625,0.28326,0.91424,0.77369,0.9127,0.75993,0.42514
1,6,2,2,1,0.85932,3.7978,0.80819,0.26935,0.605,0.291,0.314,0.48129,4.2966,6.2774,0.8452,0.16067,0.85046,0.84573,0.84753,0.83298,0.16941
1,6,2,2,1,0.84296,3.779,0.86806,0.28631,0.5725,0.271,0.3055,0.47537,4.5405,6.6009,0.82506,0.1704,0.83218,0.82516,0.85052,0.78592,0.13676
1,6,2,2,1,0.82908,3.3119,0.86806,0.28533,0.5695,0.268,0.3065,0.46805,4.5646,5.8156,0.84719,0.17681,0.84403,0.87927,0.85331,0.76355,0.16005
1,6,3,1,0.066933,0.88512,5.9251,0.46064,0.20891,1.096,0.428,0.688,0.37888,4.8558,5.4061,0.84615,0.31591,0.93537,0.75693,0.92736,0.8124,0.27172
1,6,3,1,0.059837,0.88505,6.0751,0.4695,0.2134,1.077,0.416,0.666,0.38221,4.9414,5.6408,0.83956,0.31123,0.92055,0.76506,0.90933,0.79678,0.82785
1,6,3,1,0.070842,0.8843,5.8164,0.45711,0.20796,1.075,0.432,0.632,0.40437,4.9506,5.4106,0.84316,0.29003,0.92408,0.81008,0.89927,0.77861,1.5504
1,6,3,2,1,0.86799,4.0394,0.83705,0.26919,0.594,0.282,0.3125,0.47267,4.3762,6.8003,0.86328,0.16788,0.87969,0.86725,0.86957,0.83829,0.22889
1,6,3,2,1,0.88089,4.1312,0.86806,0.28384,0.5725,0.263,0.3045,0.45992,4.5405,7.2161,0.87598,0.21277,0.88922,0.85026,0.87964,0.8766,0.35416
1,6,3,2,1,0.86479,3.8386,0.90422,0.29203,0.552,0.27,0.281,0.48413,4.7092,6.954,0.87359,0.16254,0.85289,0.84489,0.88882,0.88792,0.19986
1,8,1,1,0.057031,0.82329,5.4864,0.44178,0.23625,1.099,0.3365,0.7665,0.31274,4.8425,4.9922,0.71064,0.31723,0.9158,0.65879,0.82664,0.6641,0.5846
1,8,1,1,0.047945,0.8315,5.6135,0.46609,0.24925,1.109,0.348,0.734,0.33451,4.7989,5.0618,0.75405,0.33124,0.93685,0.74835,0.87229,0.64277,1.2223
