grp,pp,S,IDL,IDR,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,1,1,0.07246,0.10812,0.06876,0.11731,0.077463,0.0576,0.81783,0.71098,0.36414,0.36414,5.4919,5.5825,0.26634,0.22498,1.333,1.3525,0.51,0.461,0.839,0.8975,0.38072,0.33655,3.9924,3.9351,4.1199,4.1278,0.61937,0.64469,0.29003,0.57214,0.88222,0.81715,0.57413,0.53597,0.81162,0.94476,0.61087,0.52459,0.83918,3.1254,0.64535,1,0.95685,0.79127,-0.21076,0.013938,1.1467,0.33327,1.0657,-0.15817,-0.0265,-0.03976
1,2,2,1,2,0.079375,0.13424,0.050661,0.1315,0.086791,0.12023,0.78155,0.68885,0.40537,0.40537,5.2142,4.3575,0.20212,0.20319,1.203,1.205,0.384,0.414,0.803,0.77,0.32245,0.33991,4.4239,3.3195,4.3344,3.6162,0.62755,0.60559,0.42363,0.38908,0.76136,0.81006,0.58537,0.57057,0.84179,0.84741,0.58665,0.50209,0.74481,0.65269,0.72854,1,0.9509,0.85088,-0.082109,0.012757,1.088,0.39509,0.96346,-0.049258,-0.049,-0.081463
1,2,2,1,2,0.049137,0.1194,0.036711,0.1194,0.052287,0.10606,0.75823,0.67573,0.44545,0.44545,5.0142,4.786,0.21318,0.20984,1.183,1.203,0.348,0.434,0.838,0.76,0.29616,0.35052,4.4987,3.325,4.2386,3.9784,0.61214,0.57634,0.43424,0.51193,0.75282,0.75242,0.54096,0.54032,0.81383,0.77872,0.59395,0.50777,0.78722,0.98167,0.68374,1,0.97392,0.84299,-0.07246,0.017378,1.062,0.3273,0.96516,-0.044694,-0.058,-0.098056
1,2,2,1,2,0.076623,0.16936,0.043576,0.20075,0.1144,0.077481,0.80515,0.71731,0.44389,0.44389,5.4444,4.5672,0.1999,0.19861,1.168,1.156,0.373,0.421,0.7825,0.7405,0.32296,0.36881,4.5564,3.4602,4.6613,3.9509,0.69656,0.7366,0.32789,0.43566,0.87856,0.86012,0.62899,0.5984,0.81943,0.95274,0.64629,0.5427,1.3184,0.65374,0.62483,1,0.95167,0.8873,-0.25016,0.025024,1.1168,0.45371,0.95192,-0.17799,-0.084,-0.14384
1,2,2,1,3,0.079122,0.064476,0.044953,0.079893,0.10371,0.031612,0.74926,0.68704,0.48828,0.48828,5.4079,4.1704,0.22872,0.21593,1.021,1.014,0.276,0.274,0.749,0.757,0.26207,0.26599,5.2125,2.5636,5.2967,4.1128,0.6378,0.6521,0.45589,0.36898,0.85217,0.80043,0.58618,0.55808,0.75822,0.79702,0.57973,0.53925,1.1318,0.43657,0.7461,1,0.97081,0.89772,0.040605,0.0084584,1.0509,0.34838,0.90959,0.019593,-0.002,-0.0039177
1,2,2,1,3,0.056834,0.07781,0.043318,0.29213,0.066192,0.025522,0.78514,0.68358,0.51048,0.51048,5.3993,4.0575,0.30167,0.249,0.927,0.921,0.231,0.241,0.677,0.669,0.24917,0.26596,5.741,2.8224,5.8245,4.4055,0.60324,0.59078,0.31321,0.34925,0.84786,0.74367,0.58723,0.51293,0.96252,0.785,0.58339,0.5693,1.1466,0.96596,0.75326,1,0.96618,0.9204,-0.030862,0.0074779,1.0877,0.30798,0.97305,-0.022589,-0.006,-0.012945
1,2,2,1,3,0.034459,0.047595,0.031178,0.045587,0.037079,0.034313,0.758,0.71094,0.54783,0.54783,5.0582,4.4658,0.2821,0.24965,0.889,0.871,0.228,0.234,0.647,0.647,0.26792,0.27088,5.9864,2.9845,5.6897,5.1272,0.60056,0.61305,0.34821,0.35991,0.83737,0.83952,0.56892,0.56926,0.77047,0.79835,0.57731,0.52913,0.54433,0.47634,0.78953,1,0.97721,0.92946,-0.069328,0.0077167,1.0734,0.31811,0.95495,-0.062808,-0.017,-0.038245
1,2,2,2,1,0.030061,0.079752,0.026757,0.060165,0.032012,0.084435,0.71509,0.81576,0.61035,0.61035,3.6214,5.0607,0.29543,0.23593,0.849,0.816,0.253,0.237,0.558,0.584,0.31148,0.28436,3.0618,6.522,4.2654,6.2019,0.66901,0.75751,0.26552,0.30656,0.81063,0.92593,0.66873,0.69704,0.7656,0.92958,0.53602,0.6861,0.38465,0.60644,0.84696,1,0.97891,0.79696,-0.27647,0.023998,1.1231,0.51159,0.90744,-0.23865,-0.038,-0.089517
1,2,2,2,1,0.027753,0.037879,0.022364,0.038366,0.041653,0.031577,0.74569,0.75815,0.60096,0.60096,3.915,5.0746,0.29766,0.24113,0.874,0.855,0.247,0.235,0.616,0.615,0.28433,0.27184,2.9742,6.2245,4.4794,5.9352,0.66,0.69153,0.34652,0.34032,0.91027,0.86836,0.67137,0.60286,0.81394,0.86663,0.56659,0.59417,0.74832,0.46236,0.86375,1,0.99991,0.88018,-0.21393,0.01476,1.1036,0.40718,0.93165,-0.17935,-0.015,-0.034325
1,2,2,2,1,0.028104,0.035333,0.027275,0.026949,0.028476,0.040637,0.76941,0.81209,0.61678,0.61678,3.4655,5.2575,0.34621,0.31074,0.788,0.792,0.246,0.238,0.524,0.557,0.31351,0.29576,3.2988,6.7196,4.3979,6.6383,0.66434,0.72495,0.22995,0.30973,0.87123,0.90133,0.63759,0.68382,0.74509,0.91597,0.62497,0.66583,0.54349,3.0198,0.91862,1,0.99375,0.84628,-0.16025,0.0086858,1.1555,0.3419,1.0283,-0.12127,-0.039,-0.098985
