grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,1,3,0.76625,0.7873,3.4518,0.97656,0.2856,0.507,0.212,0.315,0.41667,5.1271,6.8083,0.78242,0.16777,0.81335,0.73756,0.8639,0.75459,0.25122
1,3,1,3,1,0.86102,3.3894,1.1161,0.3174,0.442,0.198,0.238,0.4478,5.8811,7.6684,0.8641,0.14899,0.87632,0.86875,0.88591,0.83858,0.27947
1,3,1,3,1,0.87409,3.7652,1.4648,0.34679,0.356,0.172,0.189,0.48317,7.3019,10.576,0.87752,0.14024,0.88805,0.92394,0.8863,0.82315,0.24454
1,3,2,1,0.11739,0.855,5.6827,0.49867,0.30907,0.957,0.43,0.534,0.44027,5.5611,5.9381,0.74472,0.25298,0.81341,0.70825,0.87792,0.71434,1.0789
1,3,2,1,0.080156,0.86486,5.5138,0.50951,0.27577,0.946,0.391,0.539,0.41188,5.6257,5.8285,0.82051,0.26609,0.86401,0.77447,0.91897,0.78297,2.893
1,3,2,1,0.11751,0.86365,5.5967,0.55427,0.28378,0.901,0.362,0.532,0.41975,5.9067,6.2117,0.83429,0.25737,0.85933,0.73992,0.93978,0.80564,2.798
1,3,2,2,0.13887,0.82497,4.5455,0.78125,0.33371,0.6405,0.2655,0.3685,0.41184,6.2451,7.0968,0.81451,0.19629,0.81836,0.78816,0.93231,0.76744,0.39187
1,3,2,2,0.093747,0.84083,4.6723,0.82031,0.35834,0.577,0.25,0.35,0.39792,6.9324,8.0976,0.83204,0.20035,0.8441,0.80944,0.88856,0.76811,0.5575
1,3,2,2,0.10373,0.82338,4.4489,0.7487,0.32099,0.608,0.266,0.3575,0.42296,6.579,7.3173,0.81319,0.22495,0.82191,0.78704,0.89498,0.75464,0.27178
1,3,2,3,1,0.83263,3.2819,1.6276,0.44126,0.311,0.154,0.165,0.46154,8.3584,10.553,0.85884,0.13159,0.80065,0.87495,0.86101,0.82032,0.19657
1,3,2,3,1,0.8642,3.6071,1.5625,0.41143,0.3225,0.158,0.1645,0.49682,8.0604,11.185,0.86234,0.15303,0.83971,0.90451,0.90635,0.82896,0.15559
1,3,2,3,1,0.87502,3.698,1.4974,0.41639,0.328,0.162,0.167,0.49552,7.9252,11.274,0.90551,0.16015,0.88672,0.94433,0.93681,0.84857,0.21674
1,3,3,1,0.11062,0.84053,5.4054,0.51945,0.30202,0.944,0.412,0.531,0.43644,5.6376,5.7261,0.77819,0.23169,0.82121,0.71451,0.85657,0.73588,1.648
1,3,3,1,0.076128,0.88081,5.5769,0.57445,0.28306,0.843,0.342,0.489,0.42841,6.3131,6.6156,0.85587,0.2162,0.88528,0.81993,0.92111,0.80933,0.47898
1,3,3,1,0.11328,0.80516,4.8273,0.55427,0.30729,0.9005,0.4025,0.499,0.44124,5.9111,5.3617,0.80012,0.23099,0.82184,0.77442,0.90382,0.75597,0.56412
