group , participant , session , IDRight , IDLeft , hand , value
1,3,4,2,2,1,0.49182
1,3,4,2,2,1,0.51183
1,3,4,2,2,2,0.51352
1,3,4,2,2,2,0.50286
1,3,4,2,2,2,0.49193
1,3,4,3,1,1,0.52381
1,3,4,3,1,1,0.52356
1,3,4,3,1,1,0.52897
1,3,4,3,1,2,0.5118
1,3,4,3,1,2,0.52001
1,3,4,3,1,2,0.50157
1,3,4,3,2,1,0.5338
1,3,4,3,2,1,0.54466
1,3,4,3,2,1,0.54342
1,3,4,3,2,2,0.52708
1,3,4,3,2,2,0.50709
1,3,4,3,2,2,0.51398
1,3,7,1,1,1,0.52174
1,3,7,1,1,1,0.519
1,3,7,1,1,1,0.50276
1,3,7,1,1,2,0.52535
1,3,7,1,1,2,0.52264
1,3,7,1,1,2,0.52297
1,3,7,1,2,1,0.5083
1,3,7,1,2,1,0.49874
1,3,7,1,2,1,0.495
1,3,7,1,2,2,0.5023
1,3,7,1,2,2,0.52133
1,3,7,1,2,2,0.50664
1,3,7,2,1,1,0.49341
1,3,7,2,1,1,0.49776
1,3,7,2,1,1,0.49727
1,3,7,2,1,2,0.50606
1,3,7,2,1,2,0.51344
1,3,7,2,1,2,0.53164
1,3,7,2,2,1,0.50589
1,3,7,2,2,1,0.49208
1,3,7,2,2,1,0.49828
1,3,7,2,2,2,0.50801
1,3,7,2,2,2,0.51878
1,3,7,2,2,2,0.50352
1,3,7,3,1,1,0.50981
1,3,7,3,1,1,0.50168
1,3,7,3,1,1,0.51876
1,3,7,3,1,2,0.52915
1,3,7,3,1,2,0.50299
1,3,7,3,1,2,0.52631
1,3,7,3,2,1,0.56685
1,3,7,3,2,1,0.57522
1,3,7,3,2,1,0.57377
1,3,7,3,2,2,0.54192
1,3,7,3,2,2,0.55323
1,3,7,3,2,2,0.56754
1,6,1,1,1,1,0.52573
1,6,1,1,1,1,0.54093
1,6,1,1,1,1,0.52165
1,6,1,1,1,2,0.50688
1,6,1,1,1,2,0.52035
1,6,1,1,1,2,0.5021
1,6,1,1,2,1,0.51166
1,6,1,1,2,1,0.50891
1,6,1,1,2,1,0.51453
1,6,1,1,2,2,0.49879
1,6,1,1,2,2,0.49214
1,6,1,1,2,2,0.51516
1,6,1,2,1,1,0.5144
1,6,1,2,1,1,0.53658
1,6,1,2,1,1,0.52693
1,6,1,2,1,2,0.50572
1,6,1,2,1,2,0.51272
1,6,1,2,1,2,0.49625
1,6,1,2,2,1,0.50951
1,6,1,2,2,1,0.50385
1,6,1,2,2,1,0.49659
1,6,1,2,2,2,0.48211
1,6,1,2,2,2,0.46972
1,6,1,2,2,2,0.47545
1,6,1,3,1,1,0.5126
1,6,1,3,1,1,0.51805
1,6,1,3,1,1,0.52399
1,6,1,3,1,2,0.50816
1,6,1,3,1,2,0.51409
1,6,1,3,1,2,0.50994
1,6,1,3,2,1,0.50073
1,6,1,3,2,1,0.48016
1,6,1,3,2,1,0.49551
1,6,1,3,2,2,0.49574
1,6,1,3,2,2,0.44372
1,6,1,3,2,2,0.46501
1,6,4,1,1,1,0.50291
1,6,4,1,1,1,0.50205
1,6,4,1,1,1,0.51751
1,6,4,1,1,2,0.50918
1,6,4,1,1,2,0.51252
1,6,4,1,1,2,0.50864
1,6,4,1,2,1,0.50276
1,6,4,1,2,1,0.49395
1,6,4,1,2,1,0.47191
1,6,4,1,2,2,0.49235
1,6,4,1,2,2,0.50099
1,6,4,1,2,2,0.49804
1,6,4,2,1,1,0.50536
1,6,4,2,1,1,0.49785
1,6,4,2,1,1,0.49538
1,6,4,2,1,2,0.49338
1,6,4,2,1,2,0.51958
1,6,4,2,1,2,0.49477
1,6,4,2,2,1,0.45804
1,6,4,2,2,1,0.45142
1,6,4,2,2,1,0.47885
1,6,4,2,2,2,0.47363
1,6,4,2,2,2,0.47693
1,6,4,2,2,2,0.49289
1,6,4,3,1,1,0.50829
1,6,4,3,1,1,0.49268
1,6,4,3,1,1,0.48576
1,6,4,3,1,2,0.52017
1,6,4,3,1,2,0.50747
1,6,4,3,1,2,0.49981
1,6,4,3,2,1,0.45707
1,6,4,3,2,1,0.47115
1,6,4,3,2,1,0.46752
1,6,4,3,2,2,0.47677
1,6,4,3,2,2,0.4846
1,6,4,3,2,2,0.47707
1,6,7,1,1,1,0.50066
1,6,7,1,1,1,0.49699
1,6,7,1,1,1,0.50454
1,6,7,1,1,2,0.51813
1,6,7,1,1,2,0.48301
1,6,7,1,1,2,0.51149
1,6,7,1,2,1,0.48308
1,6,7,1,2,1,0.47309
1,6,7,1,2,1,0.47278
1,6,7,1,2,2,0.4879
1,6,7,1,2,2,0.48105
1,6,7,1,2,2,0.47906
1,6,7,2,1,1,0.50165
1,6,7,2,1,1,0.50366
1,6,7,2,1,1,0.49543
1,6,7,2,1,2,0.50362
1,6,7,2,1,2,0.50644
1,6,7,2,1,2,0.49179
1,6,7,2,2,1,0.43994
