group , participant , session , IDRight , IDLeft , hand , value
1,3,4,2,2,1,0.50947
1,3,4,2,2,1,0.48959
1,3,4,2,2,2,0.48867
1,3,4,2,2,2,0.49894
1,3,4,2,2,2,0.50999
1,3,4,3,1,1,0.47912
1,3,4,3,1,1,0.47813
1,3,4,3,1,1,0.47274
1,3,4,3,1,2,0.49034
1,3,4,3,1,2,0.48324
1,3,4,3,1,2,0.50148
1,3,4,3,2,1,0.4686
1,3,4,3,2,1,0.45778
1,3,4,3,2,1,0.45905
1,3,4,3,2,2,0.47533
1,3,4,3,2,2,0.49535
1,3,4,3,2,2,0.48848
1,3,7,1,1,1,0.48419
1,3,7,1,1,1,0.48552
1,3,7,1,1,1,0.50188
1,3,7,1,1,2,0.47993
1,3,7,1,1,2,0.482
1,3,7,1,1,2,0.48168
1,3,7,1,2,1,0.49465
1,3,7,1,2,1,0.50434
1,3,7,1,2,1,0.50709
1,3,7,1,2,2,0.50311
1,3,7,1,2,2,0.48322
1,3,7,1,2,2,0.49758
1,3,7,2,1,1,0.51091
1,3,7,2,1,1,0.50566
1,3,7,2,1,1,0.50537
1,3,7,2,1,2,0.49709
1,3,7,2,1,2,0.49048
1,3,7,2,1,2,0.47214
1,3,7,2,2,1,0.49589
1,3,7,2,2,1,0.50964
1,3,7,2,2,1,0.50342
1,3,7,2,2,2,0.49485
1,3,7,2,2,2,0.48361
1,3,7,2,2,2,0.49818
1,3,7,3,1,1,0.49474
1,3,7,3,1,1,0.50307
1,3,7,3,1,1,0.48604
1,3,7,3,1,2,0.47335
1,3,7,3,1,2,0.4984
1,3,7,3,1,2,0.47727
1,3,7,3,2,1,0.43601
1,3,7,3,2,1,0.4281
1,3,7,3,2,1,0.42969
1,3,7,3,2,2,0.46095
1,3,7,3,2,2,0.45009
1,3,7,3,2,2,0.43592
1,6,1,1,1,1,0.47611
1,6,1,1,1,1,0.46063
1,6,1,1,1,1,0.48056
1,6,1,1,1,2,0.49703
1,6,1,1,1,2,0.48205
1,6,1,1,1,2,0.49987
1,6,1,1,2,1,0.48919
1,6,1,1,2,1,0.49197
1,6,1,1,2,1,0.48614
1,6,1,1,2,2,0.50188
1,6,1,1,2,2,0.50889
1,6,1,1,2,2,0.48586
1,6,1,2,1,1,0.48798
1,6,1,2,1,1,0.46593
1,6,1,2,1,1,0.47548
1,6,1,2,1,2,0.49555
1,6,1,2,1,2,0.4898
1,6,1,2,1,2,0.50616
1,6,1,2,2,1,0.49165
1,6,1,2,2,1,0.49697
1,6,1,2,2,1,0.50431
1,6,1,2,2,2,0.51913
1,6,1,2,2,2,0.5311
1,6,1,2,2,2,0.52546
1,6,1,3,1,1,0.48872
