group , participant , session , IDRight , IDLeft , hand , value
1,3,4,2,2,1,0.23621
1,3,4,2,2,1,0.23326
1,3,4,2,2,2,0.27922
1,3,4,2,2,2,0.25308
1,3,4,2,2,2,0.25228
1,3,4,3,1,1,0.16253
1,3,4,3,1,1,0.15933
1,3,4,3,1,1,0.16544
1,3,4,3,1,2,0.17915
1,3,4,3,1,2,0.14386
1,3,4,3,1,2,0.15388
1,3,4,3,2,1,0.33906
1,3,4,3,2,1,0.33221
1,3,4,3,2,1,0.33164
1,3,4,3,2,2,0.36572
1,3,4,3,2,2,0.34346
1,3,4,3,2,2,0.34072
1,3,7,1,1,1,0.10821
1,3,7,1,1,1,0.12865
1,3,7,1,1,1,0.12981
1,3,7,1,1,2,0.1447
1,3,7,1,1,2,0.12544
1,3,7,1,1,2,0.15124
1,3,7,1,2,1,0.23817
1,3,7,1,2,1,0.19526
1,3,7,1,2,1,0.22926
1,3,7,1,2,2,0.18871
1,3,7,1,2,2,0.17386
1,3,7,1,2,2,0.18981
1,3,7,2,1,1,0.16744
1,3,7,2,1,1,0.16413
1,3,7,2,1,1,0.19552
1,3,7,2,1,2,0.18512
1,3,7,2,1,2,0.16214
1,3,7,2,1,2,0.19188
1,3,7,2,2,1,0.28164
1,3,7,2,2,1,0.31355
1,3,7,2,2,1,0.28258
1,3,7,2,2,2,0.2979
1,3,7,2,2,2,0.32536
1,3,7,2,2,2,0.31176
1,3,7,3,1,1,0.18464
1,3,7,3,1,1,0.16569
1,3,7,3,1,1,0.16596
1,3,7,3,1,2,0.24247
1,3,7,3,1,2,0.25952
1,3,7,3,1,2,0.20723
1,3,7,3,2,1,0.41795
1,3,7,3,2,1,0.42082
1,3,7,3,2,1,0.40563
1,3,7,3,2,2,0.42269
1,3,7,3,2,2,0.40755
1,3,7,3,2,2,0.41581
1,6,1,1,1,1,0.070942
1,6,1,1,1,1,0.073123
1,6,1,1,1,1,0.10032
1,6,1,1,1,2,0.051153
1,6,1,1,1,2,0.05696
1,6,1,1,1,2,0.088057
1,6,1,1,2,1,0.15621
1,6,1,1,2,1,0.15865
1,6,1,1,2,1,0.17292
1,6,1,1,2,2,0.14051
1,6,1,1,2,2,0.1345
1,6,1,1,2,2,0.14308
1,6,1,2,1,1,0.10118
1,6,1,2,1,1,0.091399
1,6,1,2,1,1,0.1119
1,6,1,2,1,2,0.10112
1,6,1,2,1,2,0.083948
1,6,1,2,1,2,0.10206
1,6,1,2,2,1,0.1891
1,6,1,2,2,1,0.16922
1,6,1,2,2,1,0.18504
1,6,1,2,2,2,0.17078
1,6,1,2,2,2,0.15927
1,6,1,2,2,2,0.17068
1,6,1,3,1,1,0.13853
1,6,1,3,1,1,0.14179
1,6,1,3,1,1,0.12657
1,6,1,3,1,2,0.11005
1,6,1,3,1,2,0.12631
1,6,1,3,1,2,0.105
1,6,1,3,2,1,0.17354
1,6,1,3,2,1,0.18958
1,6,1,3,2,1,0.19883
1,6,1,3,2,2,0.15379
1,6,1,3,2,2,0.17347
1,6,1,3,2,2,0.18369
1,6,4,1,1,1,0.11689
1,6,4,1,1,1,0.11067
1,6,4,1,1,1,0.13281
1,6,4,1,1,2,0.09158
1,6,4,1,1,2,0.12652
1,6,4,1,1,2,0.13022
1,6,4,1,2,1,0.14859
1,6,4,1,2,1,0.17159
1,6,4,1,2,1,0.17146
1,6,4,1,2,2,0.13588
1,6,4,1,2,2,0.13815
1,6,4,1,2,2,0.16371
1,6,4,2,1,1,0.13194
1,6,4,2,1,1,0.15387
1,6,4,2,1,1,0.1357
1,6,4,2,1,2,0.11941
1,6,4,2,1,2,0.14857
1,6,4,2,1,2,0.1323
1,6,4,2,2,1,0.20387
1,6,4,2,2,1,0.21812
1,6,4,2,2,1,0.21043
1,6,4,2,2,2,0.19876
1,6,4,2,2,2,0.21048
1,6,4,2,2,2,0.18536
1,6,4,3,1,1,0.14317
1,6,4,3,1,1,0.16946
1,6,4,3,1,1,0.16655
1,6,4,3,1,2,0.1538
1,6,4,3,1,2,0.15817
1,6,4,3,1,2,0.15533
1,6,4,3,2,1,0.25015
1,6,4,3,2,1,0.26308
1,6,4,3,2,1,0.22937
1,6,4,3,2,2,0.24315
1,6,4,3,2,2,0.25488
1,6,4,3,2,2,0.2056
1,6,7,1,1,1,0.10999
1,6,7,1,1,1,0.13415
1,6,7,1,1,1,0.13193
1,6,7,1,1,2,0.099255
1,6,7,1,1,2,0.13361
1,6,7,1,1,2,0.11287
1,6,7,1,2,1,0.19043
1,6,7,1,2,1,0.17134
1,6,7,1,2,1,0.17596
1,6,7,1,2,2,0.18037
1,6,7,1,2,2,0.18237
1,6,7,1,2,2,0.19176
1,6,7,2,1,1,0.16162
1,6,7,2,1,1,0.15458
1,6,7,2,1,1,0.17264
1,6,7,2,1,2,0.174
1,6,7,2,1,2,0.16221
1,6,7,2,1,2,0.16856
1,6,7,2,2,1,0.21708
1,6,7,2,2,1,0.20928
1,6,7,2,2,1,0.23688
1,6,7,2,2,2,0.21716
1,6,7,2,2,2,0.2047
1,6,7,2,2,2,0.22136
1,6,7,3,1,1,0.19506
1,6,7,3,1,1,0.17778
1,6,7,3,1,1,0.18934
1,6,7,3,1,2,0.17567
1,6,7,3,1,2,0.159
1,6,7,3,1,2,0.1608
1,6,7,3,2,1,0.25217
1,6,7,3,2,1,0.2471
1,6,7,3,2,1,0.26674
1,6,7,3,2,2,0.24771
1,6,7,3,2,2,0.23632
1,6,7,3,2,2,0.24676
1,8,1,1,1,1,0.15391
1,8,1,1,1,1,0.14546
1,8,1,1,1,1,0.1465
1,8,1,1,1,2,0.13805
1,8,1,1,1,2,0.1454
1,8,1,1,1,2,0.12623
1,8,1,1,2,1,0.25376
1,8,1,1,2,1,0.1658
1,8,1,1,2,1,0.191
1,8,1,1,2,2,0.20983
1,8,1,1,2,2,0.15952
1,8,1,1,2,2,0.22315
1,8,1,2,1,1,0.21221
1,8,1,2,1,1,0.16096
1,8,1,2,1,1,0.18667
1,8,1,2,1,2,0.21581
1,8,1,2,1,2,0.15437
1,8,1,2,1,2,0.17542
1,8,1,2,2,1,0.31695
1,8,1,2,2,1,0.21214
1,8,1,2,2,1,0.20528
1,8,1,2,2,2,0.31806
1,8,1,2,2,2,0.21848
1,8,1,2,2,2,0.22472
1,8,1,3,1,1,0.20721
1,8,1,3,1,1,0.20972
1,8,1,3,1,1,0.19499
1,8,1,3,1,2,0.21745
1,8,1,3,1,2,0.17706
1,8,1,3,1,2,0.1782
1,8,1,3,2,1,0.47272
1,8,1,3,2,1,0.53201
1,8,1,3,2,1,0.4697
1,8,1,3,2,2,0.43793
1,8,1,3,2,2,0.49476
1,8,1,3,2,2,0.48742
1,8,4,1,1,1,0.16838
1,8,4,1,1,1,0.13278
1,8,4,1,1,1,0.15632
1,8,4,1,1,2,0.13506
1,8,4,1,1,2,0.14415
1,8,4,1,1,2,0.17154
1,8,4,1,2,1,0.21546
1,8,4,1,2,1,0.18604
1,8,4,1,2,1,0.18587
1,8,4,1,2,2,0.20958
1,8,4,1,2,2,0.17239
1,8,4,1,2,2,0.18514
1,8,4,2,1,1,0.18661
1,8,4,2,1,1,0.16681
1,8,4,2,1,1,0.16305
1,8,4,2,1,2,0.18004
1,8,4,2,1,2,0.1607
1,8,4,2,1,2,0.16465
1,8,4,2,2,1,0.26786
1,8,4,2,2,1,0.27456
1,8,4,2,2,1,0.30667
1,8,4,2,2,2,0.27339
1,8,4,2,2,2,0.28158
1,8,4,2,2,2,0.31658
1,8,4,3,1,1,0.20943
1,8,4,3,1,1,0.20326
1,8,4,3,1,1,0.1798
1,8,4,3,1,2,0.18825
1,8,4,3,1,2,0.1811
1,8,4,3,1,2,0.15302
1,8,4,3,2,1,0.53706
1,8,4,3,2,1,0.54357
1,8,4,3,2,1,0.59803
1,8,4,3,2,2,0.51105
1,8,4,3,2,2,0.51905
1,8,4,3,2,2,0.64452
1,8,7,1,1,1,0.18794
1,8,7,1,1,1,0.17847
1,8,7,1,1,1,0.16004
1,8,7,1,1,2,0.16446
1,8,7,1,1,2,0.18378
1,8,7,1,1,2,0.18807
1,8,7,1,2,1,0.22804
1,8,7,1,2,1,0.15396
1,8,7,1,2,1,0.18099
1,8,7,1,2,2,0.22361
1,8,7,1,2,2,0.17139
1,8,7,1,2,2,0.19214
1,8,7,2,1,1,0.17614
1,8,7,2,1,1,0.15277
1,8,7,2,1,1,0.18952
1,8,7,2,1,2,0.16895
1,8,7,2,1,2,0.17142
1,8,7,2,1,2,0.17936
1,8,7,2,2,1,0.2569
1,8,7,2,2,1,0.26162
1,8,7,2,2,1,0.27838
1,8,7,2,2,2,0.30106
1,8,7,2,2,2,0.31348
1,8,7,2,2,2,0.33296
1,8,7,3,1,1,0.20035
1,8,7,3,1,1,0.18429
1,8,7,3,1,1,0.21094
1,8,7,3,1,2,0.19712
1,8,7,3,1,2,0.18645
1,8,7,3,1,2,0.21188
1,8,7,3,2,1,0.5822
1,8,7,3,2,1,0.61489
1,8,7,3,2,1,0.59353
1,8,7,3,2,2,0.56837
1,8,7,3,2,2,0.59739
1,8,7,3,2,2,0.6006
1,9,1,1,1,1,0.12239
1,9,1,1,1,1,0.11618
1,9,1,1,1,1,0.13499
1,9,1,1,1,2,0.13326
1,9,1,1,1,2,0.11231
1,9,1,1,1,2,0.14593
1,9,1,1,2,1,0.11747
1,9,1,1,2,1,0.12644
1,9,1,1,2,1,0.14454
1,9,1,1,2,2,0.14252
1,9,1,1,2,2,0.16013
1,9,1,1,2,2,0.16721
1,9,1,2,1,1,0.13139
1,9,1,2,1,1,0.13754
1,9,1,2,1,1,0.14348
1,9,1,2,1,2,0.14149
1,9,1,2,1,2,0.16473
1,9,1,2,1,2,0.15527
1,9,1,2,2,1,0.15965
1,9,1,2,2,1,0.19242
1,9,1,2,2,1,0.22246
