grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,6,1,1,0.85945,1.277,0.4855,0.8145,0.36774,4.1675,-1.9993,0.10341,0.36058,0.82786,0.27577,0.92137,0.77122,0.92614,0.76605,2.3518
1,6,1,1,0.73681,1.332,0.502,0.853,0.37435,3.9954,-1.9016,0.1075,0.36058,0.75778,0.33632,0.85298,0.69907,0.84446,0.70321,1.8001
1,6,1,1,0.74581,1.293,0.4845,0.7745,0.38114,4.116,-1.9901,0.11518,0.36227,0.78023,0.28489,0.83771,0.70465,0.83828,0.7392,3.1416
1,6,1,2,0.7243,0.9145,0.3835,0.54,0.41408,2.8425,-2.6,0.21307,0.561,0.74544,0.23336,0.8599,0.69488,0.71975,0.77424,1.9009
1,6,1,2,0.76356,0.745,0.2995,0.442,0.41363,3.4895,-3.3073,0.28219,0.67817,0.78131,0.18048,0.85012,0.77172,0.77488,0.7427,1.2028
1,6,1,2,0.89965,0.679,0.29,0.389,0.4242,3.8284,-3.6613,1,0.73242,0.87008,0.16958,0.93927,0.86584,0.86754,0.82748,1.1587
1,6,2,1,0.83987,1.258,0.461,0.7975,0.36356,4.2305,-2.0186,0.091794,0.40303,0.78691,0.3028,0.90805,0.72668,0.91888,0.74446,3.1416
1,6,2,1,0.83857,1.175,0.4555,0.707,0.38319,4.5293,-2.1932,0.095963,0.42969,0.81274,0.30489,0.92856,0.77585,0.91982,0.75528,2.8452
1,6,2,1,0.85811,1.123,0.4285,0.703,0.38327,4.739,-2.2907,0.088539,0.43846,0.81625,0.28326,0.91424,0.77369,0.9127,0.75993,2.4297
1,6,2,2,0.84467,0.604,0.291,0.315,0.4791,4.3038,-4.1792,1,0.80819,0.8452,0.16067,0.85046,0.84573,0.84753,0.83298,1.3168
1,6,2,2,0.81803,0.573,0.272,0.305,0.47643,4.5366,-4.3717,1,0.86806,0.82506,0.1704,0.83218,0.82516,0.85052,0.78592,1.1135
1,6,2,2,0.84683,0.566,0.267,0.306,0.46542,4.5927,-4.2975,1,0.86806,0.84719,0.17681,0.84403,0.87927,0.85331,0.76355,1.1396
1,6,3,1,0.878,1.0935,0.424,0.6805,0.37994,4.8669,-2.3565,0.066933,0.46064,0.84615,0.31591,0.93537,0.75693,0.92736,0.8124,2.0387
1,6,3,1,0.86367,1.078,0.4175,0.667,0.38266,4.9369,-2.3941,0.059837,0.4695,0.83956,0.31123,0.92055,0.76506,0.90933,0.79678,3.1416
1,6,3,1,0.87579,1.076,0.431,0.634,0.40404,4.946,-2.3888,0.070842,0.45711,0.84316,0.29003,0.92408,0.81008,0.89927,0.77861,1.5708
1,6,3,2,0.87009,0.594,0.282,0.315,0.47276,4.3762,-4.2004,1,0.83705,0.86328,0.16788,0.87969,0.86725,0.86957,0.83829,1.2867
1,6,3,2,0.87858,0.572,0.262,0.304,0.46043,4.5445,-4.4161,1,0.86806,0.87598,0.21277,0.88922,0.85026,0.87964,0.8766,1.2801
1,6,3,2,0.89814,0.5545,0.2695,0.2815,0.48315,4.688,-4.4201,1,0.90422,0.87359,0.16254,0.85289,0.84489,0.88882,0.88792,1.3278
1,8,1,1,0.77239,1.101,0.339,0.774,0.31225,4.8337,-2.2537,0.057031,0.44178,0.71064,0.31723,0.9158,0.65879,0.82664,0.6641,3.1416
1,8,1,1,0.80811,1.108,0.3525,0.725,0.33608,4.8032,-2.2362,0.047945,0.46609,0.75405,0.33124,0.93685,0.74835,0.87229,0.64277,3.1416
1,8,1,1,0.7921,1.146,0.386,0.752,0.35568,4.6439,-2.1735,0.045525,0.44389,0.74785,0.26428,0.91522,0.71893,0.84338,0.64691,2.8098
1,8,1,2,0.89012,0.348,0.178,0.172,0.50578,7.4697,-7.0859,1,1.4361,0.89249,0.11015,0.90546,0.83164,0.78942,0.91841,1.0215
1,8,1,2,0.9298,0.2485,0.143,0.117,0.54795,10.461,-9.5408,1,2.0345,0.87408,0.1735,0.76751,0.87058,0.94677,0.89528,0.75912
1,8,1,2,0.85595,0.241,0.135,0.107,0.5506,10.786,-9.8094,1,2.0419,0.8535,0.12403,0.76763,0.86328,0.88682,0.87352,0.74541
1,8,2,1,0.73675,1.139,0.374,0.7625,0.33553,4.6725,-2.2279,0.081646,0.41853,0.74855,0.30644,0.83475,0.66113,0.86617,0.68479,3.1416
1,8,2,1,0.85611,1.1245,0.368,0.7735,0.33045,4.7328,-2.2393,0.048978,0.42614,0.78554,0.35448,0.89822,0.70943,0.95694,0.75354,1.5651
1,8,2,1,0.79026,1.202,0.386,0.805,0.33028,4.4276,-2.1302,0.069394,0.41016,0.78655,0.306,0.84912,0.72131,0.89892,0.68166,2.1831
1,8,2,2,0.89888,0.193,0.1055,0.093,0.52931,13.469,-12.44,1,2.6042,0.89093,0.20514,0.81814,0.78435,0.91172,0.84778,0.12429
1,8,2,2,0.89007,0.1845,0.0995,0.085,0.53837,14.089,-13.236,1,2.6855,0.88797,0.14729,0.86873,0.78435,0.89685,0.88259,0.19959
1,8,2,2,0.88676,0.19,0.101,0.089,0.54242,13.681,-12.533,1,2.6042,0.85633,0.10454,0.79308,0.88083,0.86796,0.90487,0.405
1,8,3,1,0.77193,1.022,0.342,0.684,0.33438,5.2074,-2.4734,0.065349,0.47832,0.72522,0.33953,0.82675,0.6887,0.88696,0.69772,1.5708
1,8,3,1,0.88967,0.9735,0.3385,0.643,0.34996,5.4668,-2.5936,0.084702,0.50863,0.8504,0.29123,0.92702,0.79179,0.9469,0.76824,1.5468
1,8,3,1,0.83269,1.02,0.362,0.643,0.35621,5.2176,-2.4397,0.058041,0.48828,0.79906,0.28065,0.87109,0.73756,0.88834,0.73764,1.6516
1,8,3,2,0.92817,0.191,0.102,0.09,0.5102,13.61,-11.86,1,2.6042,0.90602,0.11344,0.78827,0.92494,0.91319,0.90268,0.083422
1,8,3,2,0.91897,0.167,0.088,0.0755,0.54051,15.566,-14.053,1,3.0518,0.90769,0.14391,0.90293,0.91205,0.86796,0.7566,0.18423
1,8,3,2,0.91774,0.1645,0.082,0.0745,0.52315,15.802,-14.443,1,3.0692,0.90364,0.04968,0.90926,0.90229,0.86796,0.9145,0.18388
1,9,1,1,0.83404,1.0055,0.383,0.6005,0.38192,5.293,-2.5427,0.093055,0.49867,0.81702,0.25774,0.90095,0.73408,0.88461,0.7912,1.6629
1,9,1,1,0.71919,1.155,0.43,0.738,0.37973,4.6077,-2.1635,0.096071,0.42614,0.7417,0.26015,0.81451,0.67727,0.80474,0.68659,1.4128
1,9,1,1,0.86789,1.14,0.395,0.718,0.34671,4.6684,-2.2511,0.14828,0.44041,0.84096,0.29424,0.93285,0.78206,0.92724,0.76834,1.3541
1,9,1,2,0.86552,0.6295,0.28,0.359,0.43663,4.1294,-3.7954,0.29542,0.8138,0.82301,0.19712,0.83815,0.82866,0.85439,0.76773,1.3358
1,9,1,2,0.83944,0.501,0.235,0.265,0.4713,5.1886,-4.4979,1,0.97656,0.78088,0.17588,0.81243,0.75901,0.78213,0.76979,1.2341
1,9,1,2,0.88463,0.397,0.205,0.196,0.50235,6.5478,-5.9472,1,1.2478,0.87511,0.15277,0.87522,0.87406,0.81602,0.86562,0.94487
1,9,2,1,0.74401,1.0095,0.33,0.66,0.33442,5.2718,-2.5317,0.038923,0.49964,0.72019,0.33297,0.85448,0.65667,0.85988,0.70718,1.8037
1,9,2,1,0.83194,1.093,0.352,0.701,0.33628,4.8691,-2.3494,0.086741,0.45422,0.80301,0.29788,0.9135,0.68288,0.93422,0.73548,1.5083
