grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,2,1,0.77135,0.9585,0.4315,0.5345,0.44016,5.5524,-2.5485,0.11739,0.49867,0.74472,0.25298,0.81341,0.70825,0.87792,0.71434,3.1416
1,3,2,1,0.86692,0.946,0.3915,0.5395,0.41185,5.6257,-2.6159,0.080156,0.50951,0.82051,0.26609,0.86401,0.77447,0.91897,0.78297,3.1416
1,3,2,1,0.86528,0.8985,0.3635,0.531,0.42017,5.9232,-2.7607,0.11751,0.55427,0.83429,0.25737,0.85933,0.73992,0.93978,0.80564,3.1416
1,3,2,2,0.85476,0.641,0.265,0.371,0.40748,6.2402,-3.7736,0.13887,0.78125,0.81451,0.19629,0.81836,0.78816,0.93231,0.76744,3.1416
1,3,2,2,0.87037,0.579,0.2505,0.349,0.40248,6.9085,-4.2519,0.093747,0.82031,0.83204,0.20035,0.8441,0.80944,0.88856,0.76811,1.1851
1,3,2,2,0.85282,0.609,0.268,0.358,0.42322,6.5681,-3.978,0.10373,0.7487,0.81319,0.22495,0.82191,0.78704,0.89498,0.75464,2.1839
1,3,2,3,0.85722,0.312,0.154,0.165,0.46909,8.3317,-7.6251,1,1.6276,0.85884,0.13159,0.80065,0.87495,0.86101,0.82032,1.1023
1,3,2,3,0.88895,0.323,0.155,0.165,0.49508,8.0479,-7.6044,1,1.5625,0.86234,0.15303,0.83971,0.90451,0.90635,0.82896,0.85891
1,3,2,3,0.95031,0.3295,0.164,0.167,0.49631,7.8893,-7.2357,1,1.4974,0.90551,0.16015,0.88672,0.94433,0.93681,0.84857,0.81824
1,3,3,1,0.81932,0.9435,0.412,0.531,0.43396,5.6406,-2.5801,0.11062,0.51945,0.77819,0.23169,0.82121,0.71451,0.85657,0.73588,2.8793
1,3,3,1,0.88396,0.8445,0.345,0.49,0.42849,6.3019,-2.9819,0.076128,0.57445,0.85587,0.2162,0.88528,0.81993,0.92111,0.80933,3.1416
1,3,3,1,0.87049,0.888,0.403,0.499,0.4424,5.9932,-2.6031,0.11328,0.55427,0.80012,0.23099,0.82184,0.77442,0.90382,0.75597,2.2739
1,3,3,2,0.89147,0.562,0.24,0.3235,0.42872,7.1175,-4.4629,0.16446,0.939,0.86073,0.20521,0.85807,0.84624,0.91251,0.80475,1.3529
1,3,3,2,0.90849,0.485,0.218,0.273,0.44574,8.2474,-5.0899,0.12823,1.019,0.86717,0.1666,0.87601,0.86472,0.90956,0.82629,1.1482
1,3,3,2,0.9284,0.5185,0.237,0.2805,0.45506,7.7146,-4.8655,0.13343,0.97656,0.89581,0.15669,0.89398,0.89142,0.92555,0.82909,1.0216
1,3,3,3,0.88789,0.2975,0.1465,0.1515,0.5026,8.7377,-8.1964,1,1.7439,0.86306,0.16638,0.85721,0.91204,0.86709,0.7993,0.99283
1,3,3,3,0.91779,0.33,0.1685,0.1635,0.50586,7.8772,-7.3689,1,1.4974,0.88017,0.15458,0.88328,0.96407,0.89333,0.81285,0.92706
1,3,3,3,0.90063,0.29,0.1515,0.1485,0.51527,8.9637,-8.4215,1,1.6741,0.8749,0.14411,0.88294,0.95811,0.88415,0.81967,1.0877
1,6,1,1,0.76231,1.32,0.443,0.8715,0.34409,4.032,-1.9314,0.10539,0.39062,0.71808,0.33211,0.79899,0.62937,0.90807,0.69693,1.4774
1,6,1,1,0.71368,2.0625,0.625,1.4165,0.31449,2.5815,-1.2372,0.1451,0.19531,0.72394,0.39758,0.89155,0.66452,0.78873,0.60048,1.8909
1,6,1,1,0.79401,1.389,0.507,0.889,0.34895,3.8315,-1.8318,0.080295,0.33675,0.80264,0.25696,0.892,0.74151,0.88304,0.74231,2.5895
1,6,1,2,0.81828,1.123,0.404,0.715,0.36842,3.5619,-2.2313,0.090886,0.46875,0.78759,0.25462,0.88074,0.70685,0.90524,0.7709,3.1416
1,6,1,2,0.72414,0.944,0.372,0.572,0.41131,4.2373,-2.6439,0.25345,0.53478,0.77477,0.22266,0.77806,0.66886,0.84049,0.79442,3.1416
1,6,1,2,0.75014,1.1025,0.4055,0.672,0.39329,3.6281,-2.1721,0.15207,0.46705,0.75799,0.26152,0.88508,0.7389,0.7918,0.73045,3.1416
1,6,1,3,0.68332,0.871,0.3275,0.543,0.38499,2.9865,-2.8088,0.096362,0.48828,0.69848,0.26321,0.75863,0.61021,0.78704,0.66385,1.3611
1,6,1,3,0.77698,0.9865,0.4165,0.5585,0.42333,2.6351,-2.3384,0.12224,0.50863,0.75565,0.17945,0.83793,0.79757,0.74836,0.66889,1.5708
1,6,1,3,0.74131,0.9465,0.3535,0.565,0.4045,2.7464,-2.6473,0.14956,0.49913,0.75507,0.24982,0.82337,0.69017,0.8009,0.71349,2.3484
1,6,2,1,0.77778,1.126,0.449,0.6765,0.39017,4.7265,-2.2558,0.081015,0.43403,0.78759,0.28763,0.82415,0.69215,0.88304,0.76423,3.1416
1,6,2,1,0.80425,1.3105,0.4995,0.806,0.37961,4.061,-1.9209,0.084907,0.37287,0.79078,0.27293,0.86022,0.70596,0.90412,0.75321,3.1416
1,6,2,1,0.90653,1.2055,0.478,0.705,0.40323,4.4147,-2.1189,0.091311,0.40409,0.8713,0.27617,0.9174,0.82131,0.93371,0.81781,1.5708
1,6,2,2,0.8673,0.912,0.4005,0.521,0.43325,4.386,-2.7575,0.10057,0.56424,0.8401,0.20773,0.84595,0.78419,0.91348,0.82473,3.1416
1,6,2,2,0.88226,0.712,0.3505,0.3565,0.49859,5.618,-3.5383,0.33403,0.69754,0.8728,0.20595,0.86157,0.83775,0.90451,0.89167,1.4278
1,6,2,2,0.86351,0.742,0.354,0.379,0.47187,5.3908,-3.4196,0.13574,0.67139,0.85704,0.20145,0.85269,0.82196,0.88834,0.86648,1.4414
1,6,2,3,0.90503,0.597,0.28,0.319,0.46656,4.3542,-4.1169,1,0.83705,0.86564,0.13401,0.86152,0.84704,0.90192,0.85903,1.352
1,6,2,3,0.90944,0.5745,0.2945,0.2805,0.50044,4.5247,-4.2894,1,0.86806,0.87375,0.16045,0.84991,0.90462,0.90374,0.87294,1.287
1,6,2,3,0.86703,0.6005,0.2985,0.299,0.49753,4.3288,-3.9263,1,0.83705,0.82845,0.16819,0.79707,0.83131,0.85357,0.82374,1.2268
1,6,3,1,0.81177,1.331,0.4785,0.843,0.37326,3.9985,-1.8942,0.095908,0.38147,0.79051,0.30038,0.84981,0.70497,0.92633,0.76608,2.14
1,6,3,1,0.71202,1.267,0.479,0.7945,0.38227,4.2004,-1.992,0.094192,0.39378,0.72551,0.26956,0.81557,0.6805,0.82555,0.68627,3.1416
1,6,3,1,0.77758,1.1805,0.4375,0.757,0.37534,4.5082,-2.1549,0.087045,0.40409,0.75506,0.28141,0.82555,0.65876,0.88574,0.75724,2.9926
1,6,3,2,0.86695,0.682,0.3345,0.3595,0.47369,5.8653,-3.6583,0.22067,0.76294,0.86434,0.18881,0.82782,0.80746,0.90763,0.89984,1.4108
1,6,3,2,0.90584,0.6395,0.3155,0.3285,0.48961,6.2549,-4.0063,0.28524,0.78125,0.89974,0.22838,0.86918,0.85975,0.93138,0.93327,1.4931
1,6,3,2,0.84487,0.6295,0.3095,0.3305,0.47756,6.3547,-4.0144,0.27448,0.78125,0.8532,0.17265,0.8422,0.81926,0.87473,0.87959,1.1813
1,6,3,3,0.91039,0.632,0.318,0.33,0.49322,4.1131,-3.9363,1,0.80218,0.87926,0.17716,0.85505,0.86686,0.91908,0.88542,1.1064
1,6,3,3,0.89503,0.579,0.296,0.275,0.52324,4.4896,-4.2935,1,0.86806,0.88336,0.20209,0.83608,0.87472,0.8982,0.9136,1.1458
1,6,3,3,0.89239,0.557,0.2835,0.274,0.50492,4.6669,-4.473,1,0.86806,0.88607,0.17362,0.84492,0.87376,0.91573,0.91831,1.16
1,8,1,1,0.80116,1.0775,0.38,0.6815,0.36427,4.9391,-2.2713,0.065358,0.4695,0.73003,0.31598,0.92308,0.69211,0.83264,0.69129,2.2051
1,8,1,1,0.80922,0.989,0.3285,0.664,0.333,5.3811,-2.5028,0.05212,0.48828,0.76721,0.28168,0.92104,0.69236,0.84425,0.70265,2.2872
1,8,1,1,0.85671,0.9425,0.323,0.613,0.3498,5.6466,-2.5816,0.035734,0.52083,0.75929,0.33419,0.95028,0.73402,0.8759,0.695,1.8501
