grp,pp,S,DID,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,1,1,0.83141,0.7765,1.694,1.7625,0.63,0.5865,1.06,1.111,0.36998,0.34315,3.1416,3.0196,-1.433,-1.3666,0.072793,0.096797,0.29033,0.29033,0.64884,0.59945,0.43888,0.4552,0.92073,0.88601,0.64265,0.57472,0.89832,0.8952,0.56493,0.51604,2.8293,2.8535,0.71977,1,0.99401,0.58444,-0.023636,0.0041439,1.1883,0.17835,1.1182,-0.018561,-0.0155,-0.0183
1,2,1,1,0.76305,0.75745,1.7245,1.7235,0.608,0.5925,1.08,1.1395,0.35649,0.34032,3.0861,3.0879,-1.4376,-1.4194,0.085001,0.11984,0.30227,0.30227,0.68119,0.65169,0.38343,0.49845,0.87078,0.92437,0.64732,0.57908,0.90988,0.79558,0.61098,0.52399,2.1331,2.9616,0.67353,1,0.99385,0.59617,-0.036093,0.017451,1.161,0.24744,1.0811,-0.008192,-0.0455,-0.052769
1,2,1,1,0.75243,0.81194,1.846,1.8555,0.641,0.6345,1.223,1.2195,0.34078,0.33247,2.883,2.8682,-1.3382,-1.3198,0.065563,0.091711,0.26829,0.26829,0.69789,0.6315,0.35284,0.46377,0.87344,0.92551,0.59665,0.58467,0.85141,0.89281,0.64247,0.53524,3.1416,2.4405,0.72724,1,0.97834,0.59645,-0.068738,0.0097724,1.1959,0.24718,1.1228,-0.045055,0.0085,0.0092091
1,2,1,2,0.61808,0.71353,1.5945,1.623,0.573,0.5485,1.0195,1.0535,0.35416,0.33605,3.3377,2.4647,-1.5788,-1.4573,0.076047,0.081442,0.30141,0.30141,0.61576,0.606,0.50082,0.42558,0.75416,0.8132,0.51359,0.53679,0.75713,0.8295,0.5569,0.56796,2.6338,3.1416,0.71182,1,0.97324,0.65888,0.056543,0.010306,1.1643,0.20584,1.107,0.026622,-0.013,-0.016306
1,2,1,2,0.83537,0.77039,1.7305,1.729,0.5715,0.5875,1.1735,1.1545,0.32551,0.33301,3.0754,2.3135,-1.447,-1.3908,0.066873,0.093205,0.29871,0.28722,0.71451,0.59323,0.41032,0.43539,0.93168,0.87361,0.60996,0.55003,0.93016,0.88323,0.57772,0.58046,2.0543,2.2614,0.72196,1,0.98244,0.46661,0.029104,0.0070362,1.1766,0.21513,1.0933,0.01829,-0.042,-0.048541
1,2,1,2,0.76201,0.75925,1.5825,1.5715,0.523,0.554,1.045,1.002,0.33592,0.35028,3.363,2.5455,-1.5686,-1.5037,0.08532,0.10273,0.313,0.313,0.66333,0.64288,0.32849,0.41311,0.88606,0.86147,0.60556,0.56206,0.82822,0.8267,0.62426,0.52812,2.8973,3.1416,0.72371,1,0.98569,0.65219,0.065662,0.00921,1.1578,0.2367,1.0704,0.056054,-0.022,-0.027804
1,2,1,3,0.79424,0.82001,1.331,1.3085,0.4585,0.424,0.8765,0.902,0.33762,0.31694,3.9985,1.9867,-1.8869,-1.7961,0.056069,0.052422,0.36821,0.36821,0.72495,0.72645,0.35995,0.34684,0.93637,0.85495,0.71611,0.67544,0.85668,0.85227,0.63968,0.61707,2.6347,1.7707,0.80706,1,0.98468,0.73592,0.089169,0.0076257,1.1677,0.28922,1.0462,0.062887,0.0045,0.0067618
1,2,1,3,0.80293,0.76384,1.462,1.484,0.498,0.457,0.99,1.004,0.32429,0.32673,3.6402,1.7517,-1.7274,-1.5729,0.053955,0.10052,0.32552,0.32552,0.70991,0.73373,0.34953,0.3792,0.87362,0.81191,0.64153,0.56615,0.91115,0.83782,0.65698,0.52495,3.1416,3.1416,0.71636,1,0.94849,0.75,0.05519,0.011375,1.1301,0.33183,1.0135,0.045881,-0.04,-0.05472
1,2,1,3,0.68426,0.75661,1.392,1.349,0.419,0.438,0.949,0.944,0.318,0.30827,3.8232,1.927,-1.8158,-1.6806,0.046892,0.060957,0.37202,0.37202,0.69555,0.62965,0.40106,0.34058,0.83635,0.77562,0.59476,0.60046,0.81269,0.81971,0.59422,0.49886,2.9462,1.8647,0.73314,1,0.9291,0.84259,0.052284,0.0095222,1.1069,0.3142,1.0043,0.032741,-0.022,-0.031609
1,2,2,1,0.68461,0.70865,1.259,1.234,0.463,0.4315,0.767,0.8225,0.38259,0.34364,4.2274,4.3129,-1.9634,-2.0661,0.10905,0.29107,0.40023,0.40023,0.59934,0.62453,0.32959,0.52141,0.72337,0.8099,0.5566,0.56029,0.80402,0.84648,0.58492,0.5408,2.9055,1.9184,0.71475,1,0.9657,0.82016,-0.24086,0.028789,1.1492,0.35347,1.0758,-0.15646,0.0025,0.0039714
