grp , pp , S , IDR , IDL , accTimeL , accQR , rho , Rf , IPerfEfL , q1R , peakVelL , decTimeR , circularityR , circularityL , q1L , q2L , Lf , flsAmp , decTimeL , q4R , phDiffStd , q3L , accQL , IPerfL , q3R , MTR , IPerfEfR , IPerfR , MTL , q2R , phDiffMean , flsPC , accTimeR , peakVelR , q4L
1,2,1,2,2,0.48517,1.4455,1,0.45211,3.6497,1.0178,0.26336,0.50059,0.86396,0.86396,1.0178,0.49207,0.45211,0.038694,0.51583,0.51196,0.0061178,1.041,1.752,2.6005,1.041,0.99371,8.2392,6.9941,1.1134,0.49207,0.055092,0.17566,0.50116,0.22746,0.51196
1,2,1,2,2,0.49468,1.3768,1,0.46705,3.5617,0.96535,0.22397,0.49769,0.75122,0.75122,0.96535,0.42028,0.46705,0.069416,0.50632,0.38215,0.0052247,1.0172,1.5927,2.6,1.0172,1.0081,4.8642,4.0245,1.0125,0.42028,0.054004,0.17157,0.50332,0.23512,0.38215
1,2,1,2,2,0.50282,1.1638,1,0.58594,4.9354,0.95555,0.22803,0.49557,0.84643,0.84643,0.95555,0.57513,0.58594,0.056663,0.49863,0.55835,0.0090385,0.9472,1.2116,3.7822,0.9472,0.89113,5.0893,4.7921,0.89083,0.57513,0.050629,0.17548,0.50563,0.23632,0.55835
1,2,1,2,2,0.48517,1.4455,1,0.45211,3.6497,1.0178,0.26336,0.50059,0.86396,0.86396,1.0178,0.49207,0.45211,0.038694,0.51583,0.51196,0.0061178,1.041,1.752,2.6005,1.041,0.99371,8.2392,6.9941,1.1134,0.49207,0.055092,0.17566,0.50116,0.22746,0.51196
1,2,1,2,2,0.49468,1.3768,1,0.46705,3.5617,0.96535,0.22397,0.49769,0.75122,0.75122,0.96535,0.42028,0.46705,0.069416,0.50632,0.38215,0.0052247,1.0172,1.5927,2.6,1.0172,1.0081,4.8642,4.0245,1.0125,0.42028,0.054004,0.17157,0.50332,0.23512,0.38215
1,2,1,2,2,0.50282,1.1638,1,0.58594,4.9354,0.95555,0.22803,0.49557,0.84643,0.84643,0.95555,0.57513,0.58594,0.056663,0.49863,0.55835,0.0090385,0.9472,1.2116,3.7822,0.9472,0.89113,5.0893,4.7921,0.89083,0.57513,0.050629,0.17548,0.50563,0.23632,0.55835
1,2,1,3,1,0.51603,1.3286,1,0.37339,6.5223,0.95974,0.19387,0.49805,0.82859,0.82859,0.95974,0.58342,0.37339,0.037186,0.48517,0.54855,0.003844,0.89316,1.1718,6.3892,0.89316,1.2821,3.8525,2.6747,1.325,0.58342,0.08688,0.1739,0.50298,0.20778,0.54855
1,2,1,3,1,0.51574,1.5873,1,0.32992,11.561,1.0269,0.15969,0.53655,0.85466,0.85466,1.0269,0.58357,0.32992,0.052219,0.48644,0.44106,0.0067149,0.9626,1.1948,11.618,0.9626,1.358,6.1871,4.3214,1.2869,0.58357,0.034673,0.16693,0.46511,0.17295,0.44106
1,2,1,3,1,0.50681,1.4986,1,0.36439,4.0485,0.98236,0.19924,0.52006,0.79968,0.79968,0.98236,0.6157,0.36439,0.053003,0.49392,0.43241,0.0051221,1.0658,1.333,3.8932,1.0658,1.3587,2.9717,2.0781,1.4007,0.6157,0.049737,0.16349,0.48074,0.20225,0.43241
1,2,1,3,1,0.51603,1.3286,1,0.37339,6.5223,0.95974,0.19387,0.49805,0.82859,0.82859,0.95974,0.58342,0.37339,0.037186,0.48517,0.54855,0.003844,0.89316,1.1718,6.3892,0.89316,1.2821,3.8525,2.6747,1.325,0.58342,0.08688,0.1739,0.50298,0.20778,0.54855
