grp , pp , S , IDR , IDL , q1L
1,3,7,1,1,0.80042
1,3,7,1,2,0.86459
1,3,7,1,2,0.84243
1,3,7,1,2,0.82948
1,3,7,1,2,0.86459
1,3,7,1,2,0.84243
1,3,7,1,2,0.82948
1,3,7,2,1,1.0055
1,3,7,2,1,0.79248
1,3,7,2,1,0.83078
1,3,7,2,1,1.0055
1,3,7,2,1,0.79248
1,3,7,2,1,0.83078
1,3,7,2,2,0.90046
1,3,7,2,2,0.77163
1,3,7,2,2,0.86833
1,3,7,2,2,0.90046
1,3,7,2,2,0.77163
1,3,7,2,2,0.86833
1,3,7,3,1,0.80032
1,3,7,3,1,0.7468
1,3,7,3,1,0.74466
1,3,7,3,1,0.80032
1,3,7,3,1,0.7468
1,3,7,3,1,0.74466
1,3,7,3,2,0.80325
1,3,7,3,2,0.82805
1,3,7,3,2,0.82578
1,3,7,3,2,0.80325
1,3,7,3,2,0.82805
1,3,7,3,2,0.82578
1,6,1,1,1,0.88853
1,6,1,1,1,0.9214
1,6,1,1,1,0.87957
1,6,1,1,1,0.88853
1,6,1,1,1,0.9214
1,6,1,1,1,0.87957
1,6,1,1,2,0.896
1,6,1,1,2,0.85029
1,6,1,1,2,0.9493
1,6,1,1,2,0.896
1,6,1,1,2,0.85029
1,6,1,1,2,0.9493
1,6,1,2,1,1.0464
1,6,1,2,1,0.89479
1,6,1,2,1,0.81915
1,6,1,2,1,1.0464
1,6,1,2,1,0.89479
1,6,1,2,1,0.81915
1,6,1,2,2,0.94193
1,6,1,2,2,0.94024
1,6,1,2,2,0.91623
1,6,1,2,2,0.94193
1,6,1,2,2,0.94024
1,6,1,2,2,0.91623
1,6,1,3,1,1.0118
1,6,1,3,1,0.78271
1,6,1,3,1,0.87182
1,6,1,3,1,1.0118
1,6,1,3,1,0.78271
1,6,1,3,1,0.87182
1,6,1,3,2,0.98141
1,6,1,3,2,0.84956
1,6,1,3,2,0.81531
1,6,1,3,2,0.98141
1,6,1,3,2,0.84956
1,6,1,3,2,0.81531
1,6,4,1,1,0.82306
1,6,4,1,1,1.0113
1,6,4,1,1,0.99594
1,6,4,1,1,0.82306
1,6,4,1,1,1.0113
1,6,4,1,1,0.99594
1,6,4,1,2,0.85211
1,6,4,1,2,0.9667
1,6,4,1,2,0.9278
1,6,4,1,2,0.85211
1,6,4,1,2,0.9667
1,6,4,1,2,0.9278
1,6,4,2,1,0.96328
1,6,4,2,1,0.9264
1,6,4,2,1,1.0226
1,6,4,2,1,0.96328
1,6,4,2,1,0.9264
1,6,4,2,1,1.0226
1,6,4,2,2,0.75151
1,6,4,2,2,0.93603
1,6,4,2,2,0.86494
1,6,4,2,2,0.75151
1,6,4,2,2,0.93603
1,6,4,2,2,0.86494
1,6,4,3,1,0.97344
1,6,4,3,1,0.9201
1,6,4,3,1,0.99012
1,6,4,3,1,0.97344
1,6,4,3,1,0.9201
1,6,4,3,1,0.99012
1,6,4,3,2,0.86729
1,6,4,3,2,0.94469
1,6,4,3,2,0.9592
1,6,4,3,2,0.86729
1,6,4,3,2,0.94469
1,6,4,3,2,0.9592
1,6,7,1,1,0.98933
1,6,7,1,1,0.95796
1,6,7,1,1,0.80358
1,6,7,1,1,0.98933
1,6,7,1,1,0.95796
1,6,7,1,1,0.80358
1,6,7,1,2,1.0218
1,6,7,1,2,0.80415
1,6,7,1,2,0.82394
1,6,7,1,2,1.0218
1,6,7,1,2,0.80415
1,6,7,1,2,0.82394
1,6,7,2,1,0.75311
1,6,7,2,1,0.89236
1,6,7,2,1,0.87771
1,6,7,2,1,0.75311
1,6,7,2,1,0.89236
1,6,7,2,1,0.87771
1,6,7,2,2,0.89481
1,6,7,2,2,0.9041
1,6,7,2,2,0.85347
1,6,7,2,2,0.89481
1,6,7,2,2,0.9041
1,6,7,2,2,0.85347
1,6,7,3,1,0.80865
1,6,7,3,1,0.91631
1,6,7,3,1,0.86141
1,6,7,3,1,0.80865
1,6,7,3,1,0.91631
1,6,7,3,1,0.86141
1,6,7,3,2,1.0376
1,6,7,3,2,0.91806
1,6,7,3,2,0.9697
1,6,7,3,2,1.0376
1,6,7,3,2,0.91806
1,6,7,3,2,0.9697
1,8,1,1,1,0.99695
1,8,1,1,1,0.97503
1,8,1,1,1,0.93429
1,8,1,1,1,0.99695
1,8,1,1,1,0.97503
1,8,1,1,1,0.93429
1,8,1,1,2,1.0303
1,8,1,1,2,1.0053
1,8,1,1,2,1.0191
1,8,1,1,2,1.0303
1,8,1,1,2,1.0053
1,8,1,1,2,1.0191
1,8,1,2,1,0.95205
1,8,1,2,1,0.95639
