grp , pp , S , IDR , IDL , accTimeL
1,2,1,1,1,0.37191
1,2,1,1,1,0.73393
1,2,1,1,1,0.43121
1,2,1,1,1,0.66393
1,2,1,1,1,0.35363
1,2,1,1,1,0.61267
1,2,1,1,1,0.25314
1,2,1,1,1,0.68172
1,2,1,1,1,0.38027
1,2,1,1,1,0.63152
1,2,1,1,1,0.36106
1,2,1,1,1,0.69984
1,2,1,1,1,0.32465
1,2,1,1,1,0.8071
1,2,1,1,1,0.3157
1,2,1,1,1,0.57103
1,2,1,1,1,0.25685
1,2,1,1,1,0.56194
1,2,1,1,1,0.32316
1,2,1,1,1,0.6948
1,2,1,1,1,0.56863
1,2,1,1,1,0.45778
1,2,1,1,1,0.24672
1,2,1,1,1,0.46429
1,2,1,1,1,0.56061
1,2,1,1,1,0.72136
1,2,1,1,1,0.39257
1,2,1,1,1,0.68138
1,2,1,1,1,0.34671
1,2,1,1,1,0.47436
1,2,1,1,2,0.48006
1,2,1,1,2,0.50704
1,2,1,1,2,0.51765
1,2,1,1,2,0.69295
1,2,1,1,2,0.61538
1,2,1,1,2,0.32468
1,2,1,1,2,0.49451
1,2,1,1,2,0.63889
1,2,1,1,2,0.6818
1,2,1,1,2,0.29901
1,2,1,1,2,0.72133
1,2,1,1,2,0.25297
1,2,1,1,2,0.77944
1,2,1,1,2,0.22336
1,2,1,1,2,0.67335
1,2,1,1,2,0.29634
1,2,1,1,2,0.64131
1,2,1,1,2,0.31892
1,2,1,1,2,0.74012
1,2,1,1,2,0.26627
1,2,1,1,2,0.83353
1,2,1,1,2,0.28111
1,2,1,1,2,0.69488
1,2,1,1,2,0.22743
1,2,1,1,2,0.76347
1,2,1,1,2,0.32615
1,2,1,1,2,0.71803
1,2,1,1,2,0.38262
1,2,1,1,2,0.69995
1,2,1,1,2,0.21277
1,2,1,1,2,0.73754
1,2,1,1,2,0.29127
1,2,1,1,2,0.58138
1,2,1,1,2,0.28864
1,2,1,1,2,0.73998
1,2,1,1,2,0.26733
1,2,1,1,2,0.73803
1,2,1,1,2,0.20584
1,2,1,1,2,0.69607
1,2,1,1,2,0.26735
1,2,1,1,2,0.67956
1,2,1,1,2,0.29789
1,2,1,1,2,0.70632
1,2,1,1,2,0.28773
1,2,1,1,2,0.73989
1,2,1,1,2,0.26264
1,2,1,1,2,0.77634
1,2,1,1,2,0.30178
1,2,1,1,2,0.73242
1,2,1,1,2,0.23955
1,2,1,1,2,0.68616
1,2,1,1,2,0.25
1,2,1,1,2,0.64116
1,2,1,1,2,0.30752
1,2,1,1,2,0.67789
1,2,1,1,2,0.35279
1,2,1,1,2,0.80435
1,2,1,1,2,0.25926
1,2,1,1,2,0.827
1,2,1,1,2,0.51597
1,2,1,1,2,0.27603
1,2,1,1,2,0.66375
1,2,1,1,2,0.41327
1,2,1,1,2,0.61991
1,2,1,1,2,0.38667
1,2,1,1,2,0.67254
1,2,1,1,2,0.33309
1,2,1,1,2,0.70889
1,2,1,1,2,0.20543
1,2,1,1,2,0.72688
1,2,1,1,2,0.22222
1,2,1,1,2,0.74717
1,2,1,1,2,0.25616
1,2,1,1,2,0.75646
1,2,1,1,2,0.30078
1,2,1,1,2,0.60799
1,2,1,1,2,0.27735
1,2,1,1,2,0.77028
1,2,1,1,2,0.28178
1,2,1,1,2,0.64726
1,2,1,1,2,0.30071
1,2,1,1,2,0.84891
1,2,1,1,2,0.28279
1,2,1,1,2,0.62302
1,2,1,1,2,0.29446
1,2,1,1,2,0.7322
1,2,1,1,2,0.25969
1,2,1,1,2,0.74157
1,2,1,1,2,0.20865
1,2,1,1,2,0.64186
1,2,1,1,2,0.34096
1,2,1,1,2,0.65259
1,2,1,1,2,0.28326
1,2,1,1,2,0.72995
1,2,1,1,2,0.28647
1,2,1,1,2,0.77619
1,2,1,1,2,0.36433
1,2,1,1,2,0.64468
1,2,1,1,2,0.25677
1,2,1,1,2,0.67208
1,2,1,1,2,0.28097
1,2,1,1,2,0.76287
1,2,1,1,2,0.346
1,2,1,1,2,0.55208
1,2,1,1,2,0.42708
1,2,1,1,2,0.68726
1,2,1,1,2,0.34408
1,2,1,1,2,0.73565
1,2,1,1,2,0.36276
1,2,1,1,2,0.69629
1,2,1,1,2,0.37121
1,2,1,1,2,0.56655
1,2,1,1,2,0.43564
1,2,1,1,2,0.6748
1,2,1,1,2,0.60159
1,2,1,1,2,0.4148
1,2,1,1,2,0.6913
1,2,1,1,2,0.51613
1,2,1,1,2,0.58879
1,2,1,1,2,0.5641
1,2,1,1,2,0.50549
1,2,1,1,2,0.28591
1,2,1,1,2,0.72567
1,2,1,1,2,0.2863
1,2,1,1,2,0.71145
1,2,1,1,2,0.32842
1,2,1,1,2,0.76952
1,2,1,1,2,0.40422
1,2,1,1,2,0.70006
1,2,1,1,2,0.39048
1,2,1,1,2,0.44604
1,2,1,1,2,0.61453
1,2,1,1,2,0.66253
1,2,1,1,2,0.40275
1,2,1,1,2,0.66969
1,2,1,1,2,0.3555
1,2,1,1,2,0.71623
1,2,1,1,2,0.24195
1,2,1,1,2,0.70476
1,2,1,1,2,0.37454
1,2,1,1,2,0.66589
1,2,1,1,2,0.25
1,2,1,1,2,0.80547
1,2,1,1,2,0.32157
1,2,1,1,2,0.66667
1,2,1,1,2,0.31304
1,2,1,1,2,0.6546
1,2,1,1,2,0.29148
1,2,1,1,2,0.63824
1,2,1,1,2,0.32393
1,2,1,1,2,0.70235
1,2,1,1,2,0.31293
1,2,1,1,2,0.70516
1,2,1,1,2,0.20167
1,2,1,1,2,0.7716
1,2,1,1,2,0.30281
1,2,1,1,2,0.72231
1,2,1,1,2,0.33277
1,2,1,1,2,0.73933
1,2,1,1,2,0.30597
1,2,1,1,2,0.69213
1,2,1,1,2,0.31584
1,2,1,1,2,0.79675
1,2,1,1,2,0.28462
1,2,1,1,2,0.65467
1,2,1,1,2,0.29688
1,2,1,1,2,0.72877
1,2,1,1,2,0.29673
1,2,1,1,2,0.74705
1,2,1,1,2,0.375
1,2,1,1,2,0.68471
1,2,1,1,2,0.42804
1,2,1,1,2,0.68602
1,2,1,1,2,0.28222
1,2,1,1,2,0.79733
1,2,1,1,2,0.48006
1,2,1,1,2,0.50704
1,2,1,1,2,0.51765
1,2,1,1,2,0.69295
1,2,1,1,2,0.61538
1,2,1,1,2,0.32468
1,2,1,1,2,0.49451
1,2,1,1,2,0.63889
1,2,1,1,2,0.6818
1,2,1,1,2,0.29901
1,2,1,1,2,0.72133
1,2,1,1,2,0.25297
1,2,1,1,2,0.77944
1,2,1,1,2,0.22336
1,2,1,1,2,0.67335
1,2,1,1,2,0.29634
1,2,1,1,2,0.64131
1,2,1,1,2,0.31892
1,2,1,1,2,0.74012
1,2,1,1,2,0.26627
1,2,1,1,2,0.83353
1,2,1,1,2,0.28111
1,2,1,1,2,0.69488
1,2,1,1,2,0.22743
1,2,1,1,2,0.76347
1,2,1,1,2,0.32615
1,2,1,1,2,0.71803
1,2,1,1,2,0.38262
1,2,1,1,2,0.69995
1,2,1,1,2,0.21277
1,2,1,1,2,0.73754
1,2,1,1,2,0.29127
1,2,1,1,2,0.58138
1,2,1,1,2,0.28864
1,2,1,1,2,0.73998
1,2,1,1,2,0.26733
1,2,1,1,2,0.73803
1,2,1,1,2,0.20584
1,2,1,1,2,0.69607
1,2,1,1,2,0.26735
1,2,1,1,2,0.67956
1,2,1,1,2,0.29789
1,2,1,1,2,0.70632
1,2,1,1,2,0.28773
1,2,1,1,2,0.73989
1,2,1,1,2,0.26264
1,2,1,1,2,0.77634
1,2,1,1,2,0.30178
1,2,1,1,2,0.73242
1,2,1,1,2,0.23955
1,2,1,1,2,0.68616
1,2,1,1,2,0.25
1,2,1,1,2,0.64116
1,2,1,1,2,0.30752
1,2,1,1,2,0.67789
1,2,1,1,2,0.35279
1,2,1,1,2,0.80435
1,2,1,1,2,0.25926
1,2,1,1,2,0.827
1,2,1,1,2,0.51597
1,2,1,1,2,0.27603
1,2,1,1,2,0.66375
1,2,1,1,2,0.41327
1,2,1,1,2,0.61991
1,2,1,1,2,0.38667
1,2,1,1,2,0.67254
1,2,1,1,2,0.33309
1,2,1,1,2,0.70889
1,2,1,1,2,0.20543
1,2,1,1,2,0.72688
1,2,1,1,2,0.22222
1,2,1,1,2,0.74717
1,2,1,1,2,0.25616
1,2,1,1,2,0.75646
1,2,1,1,2,0.30078
1,2,1,1,2,0.60799
1,2,1,1,2,0.27735
1,2,1,1,2,0.77028
1,2,1,1,2,0.28178
1,2,1,1,2,0.64726
1,2,1,1,2,0.30071
1,2,1,1,2,0.84891
1,2,1,1,2,0.28279
1,2,1,1,2,0.62302
1,2,1,1,2,0.29446
1,2,1,1,2,0.7322
1,2,1,1,2,0.25969
1,2,1,1,2,0.74157
1,2,1,1,2,0.20865
1,2,1,1,2,0.64186
1,2,1,1,2,0.34096
1,2,1,1,2,0.65259
1,2,1,1,2,0.28326
1,2,1,1,2,0.72995
