grp , pp , S , IDR , IDL , q4R
1,3,7,1,1,0.79388
1,3,7,1,2,0.67617
1,3,7,1,2,0.68517
1,3,7,1,2,0.73641
1,3,7,1,2,0.67617
1,3,7,1,2,0.68517
1,3,7,1,2,0.73641
1,3,7,2,1,0.60583
1,3,7,2,1,0.67148
1,3,7,2,1,0.65699
1,3,7,2,1,0.60583
1,3,7,2,1,0.67148
1,3,7,2,1,0.65699
1,3,7,2,2,0.68393
1,3,7,2,2,0.73798
1,3,7,2,2,0.67765
1,3,7,2,2,0.68393
1,3,7,2,2,0.73798
1,3,7,2,2,0.67765
1,3,7,3,1,0.56829
1,3,7,3,1,0.57943
1,3,7,3,1,0.59485
1,3,7,3,1,0.56829
1,3,7,3,1,0.57943
1,3,7,3,1,0.59485
1,3,7,3,2,0.76349
1,3,7,3,2,0.76025
1,3,7,3,2,0.89195
1,3,7,3,2,0.76349
1,3,7,3,2,0.76025
1,3,7,3,2,0.89195
1,6,1,1,1,0.60307
1,6,1,1,1,0.65613
1,6,1,1,1,0.62434
1,6,1,1,1,0.60307
1,6,1,1,1,0.65613
1,6,1,1,1,0.62434
1,6,1,1,2,0.71295
1,6,1,1,2,0.55083
1,6,1,1,2,0.57976
1,6,1,1,2,0.71295
1,6,1,1,2,0.55083
1,6,1,1,2,0.57976
1,6,1,2,1,0.76078
1,6,1,2,1,0.74309
1,6,1,2,1,0.61992
1,6,1,2,1,0.76078
1,6,1,2,1,0.74309
1,6,1,2,1,0.61992
1,6,1,2,2,0.60396
1,6,1,2,2,0.59227
1,6,1,2,2,0.57172
1,6,1,2,2,0.60396
1,6,1,2,2,0.59227
1,6,1,2,2,0.57172
1,6,1,3,1,0.73103
1,6,1,3,1,0.69896
1,6,1,3,1,0.72267
1,6,1,3,1,0.73103
1,6,1,3,1,0.69896
1,6,1,3,1,0.72267
1,6,1,3,2,0.59845
1,6,1,3,2,0.76175
1,6,1,3,2,0.82892
1,6,1,3,2,0.59845
1,6,1,3,2,0.76175
1,6,1,3,2,0.82892
1,6,4,1,1,0.60663
1,6,4,1,1,0.52075
1,6,4,1,1,0.47495
1,6,4,1,1,0.60663
1,6,4,1,1,0.52075
1,6,4,1,1,0.47495
1,6,4,1,2,0.68959
1,6,4,1,2,0.72963
1,6,4,1,2,0.67956
1,6,4,1,2,0.68959
1,6,4,1,2,0.72963
1,6,4,1,2,0.67956
1,6,4,2,1,0.54641
1,6,4,2,1,0.62005
1,6,4,2,1,0.5027
1,6,4,2,1,0.54641
1,6,4,2,1,0.62005
1,6,4,2,1,0.5027
1,6,4,2,2,0.8157
1,6,4,2,2,0.81651
1,6,4,2,2,0.70627
1,6,4,2,2,0.8157
1,6,4,2,2,0.81651
1,6,4,2,2,0.70627
1,6,4,3,1,0.66653
1,6,4,3,1,0.59272
1,6,4,3,1,0.45247
1,6,4,3,1,0.66653
1,6,4,3,1,0.59272
1,6,4,3,1,0.45247
1,6,4,3,2,0.78124
1,6,4,3,2,0.95335
1,6,4,3,2,0.88658
1,6,4,3,2,0.78124
1,6,4,3,2,0.95335
1,6,4,3,2,0.88658
1,6,7,1,1,0.72044
1,6,7,1,1,0.65227
1,6,7,1,1,0.61577
1,6,7,1,1,0.72044
1,6,7,1,1,0.65227
1,6,7,1,1,0.61577
1,6,7,1,2,0.61472
1,6,7,1,2,0.76131
1,6,7,1,2,0.75024
1,6,7,1,2,0.61472
1,6,7,1,2,0.76131
1,6,7,1,2,0.75024
1,6,7,2,1,0.67756
1,6,7,2,1,0.67419
1,6,7,2,1,0.73767
1,6,7,2,1,0.67756
1,6,7,2,1,0.67419
1,6,7,2,1,0.73767
1,6,7,2,2,0.77507
1,6,7,2,2,0.77937
1,6,7,2,2,0.79951
1,6,7,2,2,0.77507
1,6,7,2,2,0.77937
1,6,7,2,2,0.79951
1,6,7,3,1,0.55431
1,6,7,3,1,0.70289
1,6,7,3,1,0.62587
1,6,7,3,1,0.55431
1,6,7,3,1,0.70289
1,6,7,3,1,0.62587
1,6,7,3,2,0.86272
1,6,7,3,2,0.93012
1,6,7,3,2,0.78974
1,6,7,3,2,0.86272
1,6,7,3,2,0.93012
1,6,7,3,2,0.78974
1,8,1,1,1,0.67721
