grp , pp , S , IDR , IDL , IPerfEfL
1,2,1,1,1,3.9883
1,2,1,1,1,6.8187
1,2,1,1,1,2.8696
1,2,1,1,1,1.6183
1,2,1,1,1,3.6272
1,2,1,1,1,3.4407
1,2,1,1,1,2.8277
1,2,1,1,1,2.7104
1,2,1,1,1,5.3006
1,2,1,1,1,69.365
1,2,1,1,1,13.942
1,2,1,1,1,2.1896
1,2,1,1,1,2.995
1,2,1,1,1,3.1815
1,2,1,1,1,2.7104
1,2,1,1,1,4.4557
1,2,1,1,1,28.377
1,2,1,1,1,58.527
1,2,1,1,1,2.4104
1,2,1,1,1,3.6747
1,2,1,1,1,63.13
1,2,1,1,1,29.112
1,2,1,1,1,3.2143
1,2,1,1,1,2.6378
1,2,1,1,1,3.5742
1,2,1,1,1,68.519
1,2,1,1,1,41.93
1,2,1,1,1,2.8622
1,2,1,1,1,3.891
1,2,1,1,1,2.1585
1,2,1,1,1,3.8483
1,2,1,1,1,2.7856
1,2,1,1,1,3.2534
1,2,1,1,1,44.592
1,2,1,1,1,48.857
1,2,1,1,1,3.6771
1,2,1,1,1,53.006
1,2,1,1,1,17.026
1,2,1,1,1,3.982
1,2,1,1,1,2.594
1,2,1,1,1,3.639
1,2,1,1,1,3.2106
1,2,1,1,1,2.8813
1,2,1,1,1,2.9448
1,2,1,1,1,3.479
1,2,1,1,1,2.6755
1,2,1,1,1,2.7787
1,2,1,1,1,4.5717
1,2,1,1,1,3.0552
1,2,1,1,1,3.5426
1,2,1,1,1,2.7596
1,2,1,1,1,2.3578
1,2,1,1,1,4.7096
1,2,1,1,1,2.9509
1,2,1,1,1,3.0787
1,2,1,1,1,3.0224
1,2,1,1,1,3.2459
1,2,1,1,1,3.0888
1,2,1,1,1,2.6133
1,2,1,1,1,3.9127
1,2,1,1,1,3.0322
1,2,1,1,1,2.5916
1,2,1,1,1,4.1588
1,2,1,1,1,2.5218
1,2,1,1,1,3.0619
1,2,1,1,1,4.2341
1,2,1,1,1,55.084
1,2,1,1,1,24.971
1,2,1,1,1,3.8829
1,2,1,1,1,66.888
1,2,1,1,1,42.565
1,2,1,1,1,3.3524
1,2,1,1,1,2.7815
1,2,1,1,1,4.2024
1,2,1,1,1,3.1319
1,2,1,1,1,72.033
1,2,1,1,2,1.8969
1,2,1,1,2,52.259
1,2,1,1,2,43.652
1,2,1,1,2,7.6979
1,2,1,1,2,1.6498
1,2,1,1,2,2.5362
1,2,1,1,2,40.774
1,2,1,1,2,20.613
1,2,1,1,2,1.6842
1,2,1,1,2,2.1585
1,2,1,1,2,2.0556
1,2,1,1,2,2.2033
1,2,1,1,2,2.0511
1,2,1,1,2,2.2338
1,2,1,1,2,2.4
1,2,1,1,2,2.0904
1,2,1,1,2,2.2946
1,2,1,1,2,1.9335
1,2,1,1,2,2.5713
1,2,1,1,2,2.0121
1,2,1,1,2,2.1749
1,2,1,1,2,1.6146
1,2,1,1,2,2.0002
1,2,1,1,2,2.1202
1,2,1,1,2,1.9037
1,2,1,1,2,2.6655
1,2,1,1,2,2.4969
1,2,1,1,2,2.2861
1,2,1,1,2,2.0024
1,2,1,1,2,2.2556
1,2,1,1,2,2.1497
1,2,1,1,2,2.0625
1,2,1,1,2,2.4852
1,2,1,1,2,2.3032
1,2,1,1,2,2.1251
1,2,1,1,2,2.4491
1,2,1,1,2,2.141
1,2,1,1,2,2.6427
1,2,1,1,2,2.2419
1,2,1,1,2,2.2392
1,2,1,1,2,2.3923
1,2,1,1,2,1.9528
1,2,1,1,2,2.2989
1,2,1,1,2,2.6166
1,2,1,1,2,2.0275
1,2,1,1,2,2.6056
1,2,1,1,2,2.3984
1,2,1,1,2,2.7444
1,2,1,1,2,2.2112
1,2,1,1,2,2.1839
1,2,1,1,2,2.4935
1,2,1,1,2,2.1082
1,2,1,1,2,2.2007
1,2,1,1,2,2.7363
1,2,1,1,2,2.4491
1,2,1,1,2,2.38
1,2,1,1,2,2.5206
1,2,1,1,2,2.454
1,2,1,1,2,2.3513
1,2,1,1,2,0.73231
1,2,1,1,2,2.9934
1,2,1,1,2,2.8792
1,2,1,1,2,2.6399
1,2,1,1,2,4.0973
1,2,1,1,2,2.1951
1,2,1,1,2,2.8999
1,2,1,1,2,2.617
1,2,1,1,2,2.6829
1,2,1,1,2,3.2778
1,2,1,1,2,3.101
1,2,1,1,2,3.4995
1,2,1,1,2,2.9257
1,2,1,1,2,2.705
1,2,1,1,2,3.0208
1,2,1,1,2,2.8297
1,2,1,1,2,2.784
1,2,1,1,2,3.0721
1,2,1,1,2,2.6001
1,2,1,1,2,2.5579
1,2,1,1,2,2.4244
1,2,1,1,2,3.194
1,2,1,1,2,3.4202
1,2,1,1,2,2.9688
1,2,1,1,2,2.4962
1,2,1,1,2,2.673
1,2,1,1,2,2.4556
1,2,1,1,2,2.986
1,2,1,1,2,2.7131
1,2,1,1,2,3.0108
1,2,1,1,2,2.6691
1,2,1,1,2,2.589
1,2,1,1,2,2.2837
1,2,1,1,2,2.5908
1,2,1,1,2,2.6652
1,2,1,1,2,2.7523
1,2,1,1,2,2.5816
1,2,1,1,2,2.7607
1,2,1,1,2,2.5688
1,2,1,1,2,3.6329
1,2,1,1,2,2.1793
1,2,1,1,2,2.9328
1,2,1,1,2,2.3596
1,2,1,1,2,2.9909
1,2,1,1,2,37.729
1,2,1,1,2,18.864
1,2,1,1,2,2.7295
1,2,1,1,2,2.9186
1,2,1,1,2,2.3353
1,2,1,1,2,2.1754
1,2,1,1,2,2.638
1,2,1,1,2,5.2972
1,2,1,1,2,11.932
1,2,1,1,2,34.616
1,2,1,1,2,28.424
1,2,1,1,2,2.528
1,2,1,1,2,1.8219
1,2,1,1,2,3.5386
1,2,1,1,2,28.195
1,2,1,1,2,32.675
1,2,1,1,2,29.882
1,2,1,1,2,19.21
1,2,1,1,2,2.4262
1,2,1,1,2,2.4656
1,2,1,1,2,2.3719
1,2,1,1,2,2.2368
1,2,1,1,2,3.0296
1,2,1,1,2,1.896
1,2,1,1,2,2.7335
1,2,1,1,2,2.203
1,2,1,1,2,4.1621
1,2,1,1,2,25.152
1,2,1,1,2,19.532
1,2,1,1,2,3.0967
1,2,1,1,2,2.6668
1,2,1,1,2,2.2644
1,2,1,1,2,3.0995
1,2,1,1,2,2.3735
1,2,1,1,2,3.0428
1,2,1,1,2,2.3092
1,2,1,1,2,2.5878
1,2,1,1,2,2.7039
1,2,1,1,2,2.5707
1,2,1,1,2,2.8104
1,2,1,1,2,2.6832
1,2,1,1,2,2.5335
1,2,1,1,2,3.3265
1,2,1,1,2,2.5316
1,2,1,1,2,2.613
1,2,1,1,2,2.0566
1,2,1,1,2,2.9882
1,2,1,1,2,2.0012
1,2,1,1,2,2.9729
1,2,1,1,2,2.6914
1,2,1,1,2,2.9135
1,2,1,1,2,2.6267
1,2,1,1,2,2.8846
1,2,1,1,2,2.6169
1,2,1,1,2,2.9454
1,2,1,1,2,2.6189
1,2,1,1,2,3.2614
1,2,1,1,2,2.6977
1,2,1,1,2,3.2766
1,2,1,1,2,2.584
1,2,1,1,2,2.6894
1,2,1,1,2,2.677
1,2,1,1,2,3.6419
1,2,1,1,2,2.8823
1,2,1,1,2,2.9306
1,2,1,1,2,2.9479
1,2,1,1,2,3.4962
1,2,1,1,2,3.0036
1,2,1,1,2,4.3757
1,2,1,1,2,1.9708
1,2,1,1,2,2.8517
1,2,1,1,2,2.5955
1,2,1,1,2,1.8969
1,2,1,1,2,52.259
1,2,1,1,2,43.652
1,2,1,1,2,7.6979
1,2,1,1,2,1.6498
1,2,1,1,2,2.5362
1,2,1,1,2,40.774
1,2,1,1,2,20.613
1,2,1,1,2,1.6842
1,2,1,1,2,2.1585
1,2,1,1,2,2.0556
1,2,1,1,2,2.2033
1,2,1,1,2,2.0511
1,2,1,1,2,2.2338
1,2,1,1,2,2.4
1,2,1,1,2,2.0904
1,2,1,1,2,2.2946
1,2,1,1,2,1.9335
1,2,1,1,2,2.5713
1,2,1,1,2,2.0121
1,2,1,1,2,2.1749
1,2,1,1,2,1.6146
1,2,1,1,2,2.0002
1,2,1,1,2,2.1202
1,2,1,1,2,1.9037
1,2,1,1,2,2.6655
1,2,1,1,2,2.4969
1,2,1,1,2,2.2861
1,2,1,1,2,2.0024
1,2,1,1,2,2.2556
1,2,1,1,2,2.1497
1,2,1,1,2,2.0625
1,2,1,1,2,2.4852
1,2,1,1,2,2.3032
1,2,1,1,2,2.1251
1,2,1,1,2,2.4491
1,2,1,1,2,2.141
1,2,1,1,2,2.6427
1,2,1,1,2,2.2419
1,2,1,1,2,2.2392
1,2,1,1,2,2.3923
1,2,1,1,2,1.9528
1,2,1,1,2,2.2989
1,2,1,1,2,2.6166
1,2,1,1,2,2.0275
1,2,1,1,2,2.6056
1,2,1,1,2,2.3984
1,2,1,1,2,2.7444
1,2,1,1,2,2.2112
1,2,1,1,2,2.1839
1,2,1,1,2,2.4935
1,2,1,1,2,2.1082
1,2,1,1,2,2.2007
1,2,1,1,2,2.7363
1,2,1,1,2,2.4491
1,2,1,1,2,2.38
1,2,1,1,2,2.5206
1,2,1,1,2,2.454
1,2,1,1,2,2.3513
1,2,1,1,2,0.73231
1,2,1,1,2,2.9934
1,2,1,1,2,2.8792
1,2,1,1,2,2.6399
1,2,1,1,2,4.0973
1,2,1,1,2,2.1951
1,2,1,1,2,2.8999
1,2,1,1,2,2.617
1,2,1,1,2,2.6829
1,2,1,1,2,3.2778
1,2,1,1,2,3.101
1,2,1,1,2,3.4995
1,2,1,1,2,2.9257
1,2,1,1,2,2.705
1,2,1,1,2,3.0208
1,2,1,1,2,2.8297
1,2,1,1,2,2.784
1,2,1,1,2,3.0721
1,2,1,1,2,2.6001
1,2,1,1,2,2.5579
