grp , pp , S , IDR , IDL , circularityL
1,3,7,1,1,0.73687
1,3,7,1,2,0.80915
1,3,7,1,2,0.74579
1,3,7,1,2,0.77908
1,3,7,1,2,0.80915
1,3,7,1,2,0.74579
1,3,7,1,2,0.77908
1,3,7,2,1,0.75489
1,3,7,2,1,0.74971
1,3,7,2,1,0.73124
1,3,7,2,1,0.75489
1,3,7,2,1,0.74971
1,3,7,2,1,0.73124
1,3,7,2,2,0.78942
1,3,7,2,2,0.85962
1,3,7,2,2,0.85522
1,3,7,2,2,0.78942
1,3,7,2,2,0.85962
1,3,7,2,2,0.85522
1,3,7,3,1,0.86217
1,3,7,3,1,0.74211
1,3,7,3,1,0.72802
1,3,7,3,1,0.86217
1,3,7,3,1,0.74211
1,3,7,3,1,0.72802
1,3,7,3,2,0.8486
1,3,7,3,2,0.84932
1,3,7,3,2,0.93365
1,3,7,3,2,0.8486
1,3,7,3,2,0.84932
1,3,7,3,2,0.93365
1,6,1,1,1,0.83225
1,6,1,1,1,0.86651
1,6,1,1,1,0.83964
1,6,1,1,1,0.83225
1,6,1,1,1,0.86651
1,6,1,1,1,0.83964
1,6,1,1,2,0.89471
1,6,1,1,2,0.81961
1,6,1,1,2,0.79856
1,6,1,1,2,0.89471
1,6,1,1,2,0.81961
1,6,1,1,2,0.79856
1,6,1,2,1,0.92514
1,6,1,2,1,0.88646
1,6,1,2,1,0.91516
1,6,1,2,1,0.92514
1,6,1,2,1,0.88646
1,6,1,2,1,0.91516
1,6,1,2,2,0.83877
1,6,1,2,2,0.89633
1,6,1,2,2,0.80391
1,6,1,2,2,0.83877
1,6,1,2,2,0.89633
1,6,1,2,2,0.80391
1,6,1,3,1,0.92414
1,6,1,3,1,0.85326
1,6,1,3,1,0.85484
1,6,1,3,1,0.92414
1,6,1,3,1,0.85326
1,6,1,3,1,0.85484
1,6,1,3,2,0.8717
1,6,1,3,2,0.90172
1,6,1,3,2,0.91281
1,6,1,3,2,0.8717
1,6,1,3,2,0.90172
1,6,1,3,2,0.91281
1,6,4,1,1,0.83576
1,6,4,1,1,0.78233
1,6,4,1,1,0.84782
1,6,4,1,1,0.83576
1,6,4,1,1,0.78233
