grp , pp , S , IDR , IDL , circularityL
2,7,4,3,1,0.96525
2,7,4,3,1,0.88205
2,7,4,3,1,0.87464
2,7,4,3,1,0.96525
2,7,4,3,1,0.88205
2,7,4,3,2,0.87386
2,7,4,3,2,0.95338
2,7,4,3,2,0.94583
2,7,4,3,2,0.87386
2,7,4,3,2,0.95338
2,7,4,3,2,0.94583
2,7,7,1,1,0.70914
2,7,7,1,1,0.83547
2,7,7,1,1,0.77042
2,7,7,1,1,0.70914
2,7,7,1,1,0.83547
2,7,7,1,1,0.77042
2,7,7,1,2,0.79678
2,7,7,1,2,0.80858
2,7,7,1,2,0.7614
2,7,7,1,2,0.79678
2,7,7,1,2,0.80858
2,7,7,1,2,0.7614
2,7,7,2,1,0.9165
2,7,7,2,1,0.91461
2,7,7,2,1,0.87869
2,7,7,2,1,0.9165
2,7,7,2,1,0.91461
2,7,7,2,1,0.87869
2,7,7,2,2,0.84167
2,7,7,2,2,0.97075
2,7,7,2,2,0.9549
2,7,7,2,2,0.84167
2,7,7,2,2,0.97075
2,7,7,2,2,0.9549
2,7,7,3,1,0.83523
2,7,7,3,1,0.85511
2,7,7,3,1,0.79977
2,7,7,3,1,0.83523
2,7,7,3,1,0.85511
2,7,7,3,1,0.79977
2,7,7,3,2,0.91788
2,7,7,3,2,0.91978
2,7,7,3,2,0.9597
2,7,7,3,2,0.91788
2,7,7,3,2,0.91978
2,7,7,3,2,0.9597
2,10,1,1,1,0.73836
2,10,1,1,1,0.78802
2,10,1,1,1,0.82298
2,10,1,1,1,0.73836
2,10,1,1,1,0.78802
2,10,1,1,1,0.82298
2,10,1,1,2,0.9898
2,10,1,1,2,0.95844
2,10,1,1,2,0.86703
2,10,1,1,2,0.9898
2,10,1,1,2,0.95844
2,10,1,1,2,0.86703
2,10,1,2,1,0.95678
2,10,1,2,1,0.85751
2,10,1,2,1,0.86326
2,10,1,2,1,0.95678
2,10,1,2,1,0.85751
2,10,1,2,1,0.86326
2,10,1,2,2,0.89761
2,10,1,2,2,0.93228
2,10,1,2,2,0.91795
2,10,1,2,2,0.89761
2,10,1,2,2,0.93228
2,10,1,2,2,0.91795
2,10,1,3,1,0.87592
2,10,1,3,1,0.96688
2,10,1,3,1,0.95678
2,10,1,3,1,0.87592
2,10,1,3,1,0.96688
2,10,1,3,1,0.95678
2,10,1,3,2,0.95012
2,10,1,3,2,0.93012
2,10,1,3,2,0.95206
2,10,1,3,2,0.95012
2,10,1,3,2,0.93012
2,10,1,3,2,0.95206
2,10,4,1,1,0.72215
2,10,4,1,1,0.75196
2,10,4,1,1,0.79004
2,10,4,1,1,0.72215
2,10,4,1,1,0.75196
2,10,4,1,1,0.79004
2,10,4,1,2,0.8657
2,10,4,1,2,0.81585
2,10,4,1,2,0.90301
2,10,4,1,2,0.8657
2,10,4,1,2,0.81585
2,10,4,1,2,0.90301
2,10,4,2,1,0.92874
2,10,4,2,1,0.82714
2,10,4,2,1,0.89898
2,10,4,2,1,0.92874
2,10,4,2,1,0.82714
2,10,4,2,1,0.89898
2,10,4,2,2,0.93553
2,10,4,2,2,0.85815
2,10,4,2,2,0.88539
2,10,4,2,2,0.93553
2,10,4,2,2,0.85815
2,10,4,2,2,0.88539
2,10,4,3,1,0.87399
2,10,4,3,1,0.85473
2,10,4,3,1,0.91341
2,10,4,3,1,0.87399
2,10,4,3,1,0.85473
2,10,4,3,1,0.91341
2,10,4,3,2,0.8928
2,10,4,3,2,0.90563
2,10,4,3,2,0.90349
2,10,4,3,2,0.8928
2,10,4,3,2,0.90563
2,10,4,3,2,0.90349
2,10,7,1,1,0.79469
2,10,7,1,1,0.87603
2,10,7,1,1,0.70311
2,10,7,1,1,0.79469
2,10,7,1,1,0.87603
2,10,7,1,1,0.70311
2,10,7,1,2,0.77937
2,10,7,1,2,0.82882
2,10,7,1,2,0.82173
2,10,7,1,2,0.77937
2,10,7,1,2,0.82882
2,10,7,1,2,0.82173
2,10,7,2,1,0.74363
2,10,7,2,1,0.82828
2,10,7,2,1,0.8805
2,10,7,2,1,0.74363
2,10,7,2,1,0.82828
2,10,7,2,1,0.8805
2,10,7,2,2,0.85706
2,10,7,2,2,0.78461
2,10,7,2,2,0.80891
2,10,7,2,2,0.85706
2,10,7,2,2,0.78461
2,10,7,2,2,0.80891
2,10,7,3,1,0.86915
2,10,7,3,1,0.80404
2,10,7,3,1,0.94624
2,10,7,3,1,0.86915
2,10,7,3,1,0.80404
2,10,7,3,1,0.94624
2,10,7,3,2,0.93638
2,10,7,3,2,0.92118
2,10,7,3,2,0.89983
2,10,7,3,2,0.93638
2,10,7,3,2,0.92118
2,10,7,3,2,0.89983
