grp , pp , S , IDR , IDL , q3R
1,2,1,1,1,0.92237
1,2,1,1,1,1.0032
1,2,1,1,1,0.95215
1,2,1,1,1,0.92237
1,2,1,1,1,1.0032
1,2,1,1,1,0.95215
1,2,1,1,2,0.91561
1,2,1,1,2,0.90299
1,2,1,1,2,0.99921
1,2,1,1,2,0.91561
1,2,1,1,2,0.90299
1,2,1,1,2,0.99921
1,2,1,2,1,0.9524
1,2,1,2,1,1.0306
1,2,1,2,1,0.88831
1,2,1,2,1,0.9524
1,2,1,2,1,1.0306
1,2,1,2,1,0.88831
1,2,1,2,2,1.041
1,2,1,2,2,1.0172
1,2,1,2,2,0.9472
1,2,1,2,2,1.041
1,2,1,2,2,1.0172
1,2,1,2,2,0.9472
1,2,1,3,1,0.89316
1,2,1,3,1,0.9626
1,2,1,3,1,1.0658
1,2,1,3,1,0.89316
1,2,1,3,1,0.9626
1,2,1,3,1,1.0658
1,2,1,3,2,0.93887
1,2,1,3,2,0.86883
1,2,1,3,2,0.85935
1,2,1,3,2,0.93887
1,2,1,3,2,0.86883
1,2,1,3,2,0.85935
1,2,4,1,1,0.92412
1,2,4,1,1,0.9796
1,2,4,1,1,0.95665
1,2,4,1,1,0.92412
1,2,4,1,1,0.9796
1,2,4,1,1,0.95665
1,2,4,1,2,0.94792
1,2,4,1,2,1.0316
1,2,4,1,2,0.94617
1,2,4,1,2,0.94792
1,2,4,1,2,1.0316
1,2,4,1,2,0.94617
1,2,4,2,1,0.98301
1,2,4,2,1,1.0333
1,2,4,2,1,0.96721
1,2,4,2,1,0.98301
1,2,4,2,1,1.0333
1,2,4,2,1,0.96721
1,2,4,2,2,0.87655
1,2,4,2,2,0.95324
1,2,4,2,2,0.8144
1,2,4,2,2,0.87655
1,2,4,2,2,0.95324
1,2,4,2,2,0.8144
1,2,4,3,1,1.1076
1,2,4,3,1,1.0251
1,2,4,3,1,1.1084
1,2,4,3,1,1.1076
1,2,4,3,1,1.0251
1,2,4,3,1,1.1084
1,2,4,3,2,0.9107
1,2,4,3,2,0.93805
1,2,4,3,2,0.80222
1,2,4,3,2,0.9107
1,2,4,3,2,0.93805
1,2,4,3,2,0.80222
1,2,7,1,1,0.88709
1,2,7,1,1,0.88268
1,2,7,1,1,0.97541
