grp , pp , S , IDR , IDL , peakVelR
1,2,1,1,2,0.19339
1,2,1,1,2,0.12152
1,2,1,1,2,0.185
1,2,1,1,2,0.15558
1,2,1,1,2,0.20182
1,2,1,1,2,0.1925
1,2,1,1,2,0.23459
1,2,1,1,2,0.18935
1,2,1,1,2,0.21692
1,2,1,1,2,0.13866
1,2,1,1,2,0.21637
1,2,1,1,2,0.19964
1,2,1,1,2,0.22456
1,2,1,1,2,0.0020796
1,2,1,1,2,0.0055272
1,2,1,1,2,0.22122
1,2,1,1,2,0.28705
1,2,1,1,2,0.2498
1,2,1,1,2,0.24919
1,2,1,1,2,0.0013307
1,2,1,1,2,0.011784
1,2,1,1,2,0.0055901
1,2,1,1,2,0.0081572
1,2,1,1,2,0.23148
1,2,1,1,2,0.25938
1,2,1,1,2,0.21582
1,2,1,1,2,0.19737
1,2,1,1,2,0.16771
1,2,1,1,2,0.20537
1,2,1,1,2,0.22653
1,2,1,1,2,0.24648
1,2,1,1,2,0.21411
1,2,1,1,2,0.22256
1,2,1,1,2,0.1705
1,2,1,1,2,0.23174
1,2,1,1,2,0.2093
1,2,1,1,2,0.23736
1,2,1,1,2,0.24285
1,2,1,1,2,0.24519
1,2,1,1,2,0.22143
1,2,1,1,2,0.22818
1,2,1,1,2,0.21339
1,2,1,1,2,0.21256
1,2,1,1,2,0.21735
1,2,1,1,2,0.21334
1,2,1,1,2,0.20466
1,2,1,1,2,0.21041
1,2,1,1,2,0.19888
1,2,1,1,2,0.2211
1,2,1,1,2,0.24064
1,2,1,1,2,0.22023
1,2,1,1,2,0.0036026
1,2,1,1,2,0.015227
1,2,1,1,2,0.21695
1,2,1,1,2,0.0011655
1,2,1,1,2,0.0031011
1,2,1,1,2,0.001226
1,2,1,1,2,0.0098278
1,2,1,1,2,0.18677
1,2,1,1,2,0.19547
1,2,1,1,2,0.23586
1,2,1,1,2,0.22703
1,2,1,1,2,0.21522
1,2,1,1,2,0.19595
1,2,1,1,2,0.20367
1,2,1,1,2,0.15098
1,2,1,1,2,0.19881
1,2,1,1,2,0.15926
1,2,1,1,2,0.1961
1,2,1,1,2,0.20015
1,2,1,1,2,0.18141
1,2,1,1,2,0.12794
1,2,1,1,2,0.24282
1,2,1,1,2,0.19249
1,2,1,1,2,0.22009
1,2,1,1,2,0.20689
1,2,1,1,2,0.25983
1,2,1,1,2,0.25089
1,2,1,1,2,0.2263
1,2,1,1,2,0.20897
1,2,1,1,2,0.19525
1,2,1,1,2,0.20876
1,2,1,1,2,0.24365
1,2,1,1,2,0.23734
1,2,1,1,2,0.21059
1,2,1,1,2,0.21729
1,2,1,1,2,0.16005
1,2,1,1,2,0.21963
1,2,1,1,2,0.22188
1,2,1,1,2,0.21545
1,2,1,1,2,0.0014025
1,2,1,1,2,0.0038542
1,2,1,1,2,0.21679
1,2,1,1,2,0.23026
1,2,1,1,2,0.21464
1,2,1,1,2,0.19988
1,2,1,1,2,0.25276
1,2,1,1,2,0.24686
1,2,1,1,2,0.23443
1,2,1,1,2,0.22478
1,2,1,1,2,0.26184
1,2,1,1,2,0.23909
1,2,1,1,2,0.17325
1,2,1,1,2,0.21539
1,2,1,1,2,0.20853
1,2,1,1,2,0.26779
1,2,1,1,2,0.22337
1,2,1,1,2,0.23131
1,2,1,1,2,0.0021935
1,2,1,1,2,0.003768
1,2,1,1,2,0.2465
1,2,1,1,2,0.24185
1,2,1,1,2,0.17102
1,2,1,1,2,0.19078
1,2,1,1,2,0.2114
1,2,1,1,2,0.2062
1,2,1,1,2,0.19369
1,2,1,1,2,0.0012238
1,2,1,1,2,0.0029485
1,2,1,1,2,0.0019015
1,2,1,1,2,0.0012617
1,2,1,1,2,0.0009595
1,2,1,1,2,0.001548
1,2,1,1,2,0.099158
1,2,1,1,2,0.15245
1,2,1,1,2,0.0041904
1,2,1,1,2,0.0011609
1,2,1,1,2,0.12442
1,2,1,1,2,0.0026894
1,2,1,1,2,0.0022875
1,2,1,1,2,0.15384
1,2,1,1,2,0.0023605
1,2,1,1,2,0.0030594
1,2,1,1,2,0.19002
1,2,1,1,2,0.19574
1,2,1,1,2,0.16713
1,2,1,1,2,0.19682
1,2,1,1,2,0.17006
1,2,1,1,2,0.1795
1,2,1,1,2,0.24386
1,2,1,1,2,0.16396
1,2,1,1,2,0.22114
1,2,1,1,2,0.21211
1,2,1,1,2,0.0021022
1,2,1,1,2,0.0027861
1,2,1,1,2,0.16744
1,2,1,1,2,0.21459
1,2,1,1,2,0.16635
1,2,1,1,2,0.21121
1,2,1,1,2,0.1783
1,2,1,1,2,0.25034
1,2,1,1,2,0.17597
1,2,1,1,2,0.14129
1,2,1,1,2,0.17962
1,2,1,1,2,0.19617
1,2,1,1,2,0.18475
1,2,1,1,2,0.19397
1,2,1,1,2,0.19812
1,2,1,1,2,0.20675
1,2,1,1,2,0.20662
1,2,1,1,2,0.22439
1,2,1,1,2,0.19072
1,2,1,1,2,0.2194
1,2,1,1,2,0.0022845
1,2,1,1,2,0.0015102
1,2,1,1,2,0.20106
1,2,1,1,2,0.20162
1,2,1,1,2,0.19624
1,2,1,1,2,0.2153
1,2,1,1,2,0.20633
1,2,1,1,2,0.18839
1,2,1,1,2,0.15741
1,2,1,1,2,0.18701
1,2,1,1,2,0.1816
1,2,1,1,2,0.22969
1,2,1,1,2,0.13675
1,2,1,1,2,0.1832
1,2,1,1,2,0.19002
1,2,1,1,2,0.21157
1,2,1,1,2,0.20982
1,2,1,1,2,0.22513
1,2,1,1,2,0.16676
1,2,1,1,2,0.2417
1,2,1,1,2,0.21421
1,2,1,1,2,0.20786
1,2,1,1,2,0.20931
1,2,1,1,2,0.0028911
1,2,1,1,2,0.0013318
1,2,1,1,2,0.0037823
1,2,1,1,2,0.0013399
1,2,1,1,2,0.12634
1,2,1,1,2,0.18978
1,2,1,1,2,0.1757
1,2,1,1,2,0.19339
1,2,1,1,2,0.12152
1,2,1,1,2,0.185
1,2,1,1,2,0.15558
1,2,1,1,2,0.20182
1,2,1,1,2,0.1925
1,2,1,1,2,0.23459
1,2,1,1,2,0.18935
1,2,1,1,2,0.21692
1,2,1,1,2,0.13866
1,2,1,1,2,0.21637
1,2,1,1,2,0.19964
1,2,1,1,2,0.22456
1,2,1,1,2,0.0020796
1,2,1,1,2,0.0055272
1,2,1,1,2,0.22122
1,2,1,1,2,0.28705
1,2,1,1,2,0.2498
1,2,1,1,2,0.24919
1,2,1,1,2,0.0013307
1,2,1,1,2,0.011784
1,2,1,1,2,0.0055901
1,2,1,1,2,0.0081572
1,2,1,1,2,0.23148
1,2,1,1,2,0.25938
1,2,1,1,2,0.21582
1,2,1,1,2,0.19737
1,2,1,1,2,0.16771
1,2,1,1,2,0.20537
1,2,1,1,2,0.22653
1,2,1,1,2,0.24648
1,2,1,1,2,0.21411
1,2,1,1,2,0.22256
1,2,1,1,2,0.1705
1,2,1,1,2,0.23174
1,2,1,1,2,0.2093
1,2,1,1,2,0.23736
1,2,1,1,2,0.24285
1,2,1,1,2,0.24519
1,2,1,1,2,0.22143
1,2,1,1,2,0.22818
1,2,1,1,2,0.21339
1,2,1,1,2,0.21256
1,2,1,1,2,0.21735
1,2,1,1,2,0.21334
1,2,1,1,2,0.20466
1,2,1,1,2,0.21041
1,2,1,1,2,0.19888
1,2,1,1,2,0.2211
1,2,1,1,2,0.24064
1,2,1,1,2,0.22023
1,2,1,1,2,0.0036026
1,2,1,1,2,0.015227
1,2,1,1,2,0.21695
1,2,1,1,2,0.0011655
1,2,1,1,2,0.0031011
1,2,1,1,2,0.001226
1,2,1,1,2,0.0098278
1,2,1,1,2,0.18677
1,2,1,1,2,0.19547
1,2,1,1,2,0.23586
1,2,1,1,2,0.22703
1,2,1,1,2,0.21522
1,2,1,1,2,0.19595
1,2,1,1,2,0.20367
1,2,1,1,2,0.15098
1,2,1,1,2,0.19881
1,2,1,1,2,0.15926
1,2,1,1,2,0.1961
1,2,1,1,2,0.20015
1,2,1,1,2,0.18141
1,2,1,1,2,0.12794
1,2,1,1,2,0.24282
1,2,1,1,2,0.19249
1,2,1,1,2,0.22009
1,2,1,1,2,0.20689
1,2,1,1,2,0.25983
1,2,1,1,2,0.25089
1,2,1,1,2,0.2263
1,2,1,1,2,0.20897
1,2,1,1,2,0.19525
1,2,1,1,2,0.20876
1,2,1,1,2,0.24365
1,2,1,1,2,0.23734
1,2,1,1,2,0.21059
1,2,1,1,2,0.21729
1,2,1,1,2,0.16005
1,2,1,1,2,0.21963
1,2,1,1,2,0.22188
1,2,1,1,2,0.21545
1,2,1,1,2,0.0014025
1,2,1,1,2,0.0038542
1,2,1,1,2,0.21679
1,2,1,1,2,0.23026
1,2,1,1,2,0.21464
1,2,1,1,2,0.19988
