grp , pp , S , IDR , IDL , decTimeL
1,2,1,1,2,0.26255
1,2,1,1,2,0.79487
1,2,1,1,2,0.30453
1,2,1,1,2,0.73325
1,2,1,1,2,0.32108
1,2,1,1,2,0.70263
1,2,1,1,2,0.2943
1,2,1,1,2,0.71298
1,2,1,1,2,0.26066
1,2,1,1,2,0.73806
1,2,1,1,2,0.22431
1,2,1,1,2,0.69896
1,2,1,1,2,0.26818
1,2,1,1,2,0.76104
1,2,1,1,2,0.31452
1,2,1,1,2,0.75057
1,2,1,1,2,0.35943
1,2,1,1,2,0.69322
1,2,1,1,2,0.32277
1,2,1,1,2,0.64785
1,2,1,1,2,0.19633
1,2,1,1,2,0.7414
1,2,1,1,2,0.17364
1,2,1,1,2,0.48423
1,2,1,1,2,0.72479
1,2,1,1,2,0.33704
1,2,1,1,2,0.58746
1,2,1,1,2,0.38122
1,2,1,1,2,0.61394
1,2,1,1,2,0.32826
1,2,1,1,2,0.66763
1,2,1,1,2,0.29185
1,2,1,1,2,0.79548
1,2,1,1,2,0.27397
1,2,1,1,2,0.77874
1,2,1,1,2,0.25363
1,2,1,1,2,0.74459
1,2,1,1,2,0.24437
1,2,1,1,2,0.7
1,2,1,1,2,0.39277
1,2,1,1,2,0.72349
1,2,1,1,2,0.23044
1,2,1,1,2,0.71893
1,2,1,1,2,0.35341
1,2,1,1,2,0.70018
1,2,1,1,2,0.15203
1,2,1,1,2,0.71803
1,2,1,1,2,0.37767
1,2,1,1,2,0.70627
1,2,1,1,2,0.26847
1,2,1,1,2,0.74114
1,2,1,1,2,0.25918
1,2,1,1,2,0.79219
1,2,1,1,2,0.35888
1,2,1,1,2,0.65976
1,2,1,1,2,0.34805
1,2,1,1,2,0.71745
1,2,1,1,2,0.27079
1,2,1,1,2,0.71429
1,2,1,1,2,0.22452
1,2,1,1,2,0.63643
1,2,1,1,2,0.35603
1,2,1,1,2,0.74423
1,2,1,1,2,0.32852
1,2,1,1,2,0.71984
1,2,1,1,2,0.23779
1,2,1,1,2,0.65483
1,2,1,1,2,0.45833
1,2,1,1,2,0.57812
1,2,1,1,2,0.31349
1,2,1,1,2,0.65673
1,2,1,1,2,0.26499
1,2,1,1,2,0.63784
1,2,1,1,2,0.30444
1,2,1,1,2,0.6303
1,2,1,1,2,0.43686
1,2,1,1,2,0.57426
1,2,1,1,2,0.33333
1,2,1,1,2,0.39913
1,2,1,1,2,0.58572
1,2,1,1,2,0.30972
1,2,1,1,2,0.49194
1,2,1,1,2,0.42056
1,2,1,1,2,0.44444
1,2,1,1,2,0.5
1,2,1,1,2,0.71478
1,2,1,1,2,0.27504
1,2,1,1,2,0.71438
1,2,1,1,2,0.28919
1,2,1,1,2,0.67244
1,2,1,1,2,0.23102
1,2,1,1,2,0.59656
1,2,1,1,2,0.30057
1,2,1,1,2,0.61071
1,2,1,1,2,0.56115
1,2,1,1,2,0.39106
1,2,1,1,2,0.33835
1,2,1,1,2,0.59802
1,2,1,1,2,0.33096
1,2,1,1,2,0.64539
1,2,1,1,2,0.28445
1,2,1,1,2,0.75892
1,2,1,1,2,0.2959
1,2,1,1,2,0.6262
1,2,1,1,2,0.33488
1,2,1,1,2,0.75074
1,2,1,1,2,0.19534
1,2,1,1,2,0.6792
1,2,1,1,2,0.33406
1,2,1,1,2,0.68792
1,2,1,1,2,0.34613
1,2,1,1,2,0.70927
1,2,1,1,2,0.36235
1,2,1,1,2,0.67692
1,2,1,1,2,0.29823
1,2,1,1,2,0.68793
1,2,1,1,2,0.29561
1,2,1,1,2,0.79917
1,2,1,1,2,0.22915
1,2,1,1,2,0.69802
1,2,1,1,2,0.27844
1,2,1,1,2,0.66807
1,2,1,1,2,0.26142
1,2,1,1,2,0.69496
1,2,1,1,2,0.30864
1,2,1,1,2,0.6851
1,2,1,1,2,0.20399
1,2,1,1,2,0.71615
1,2,1,1,2,0.34609
1,2,1,1,2,0.70417
1,2,1,1,2,0.27205
1,2,1,1,2,0.70411
1,2,1,1,2,0.25379
1,2,1,1,2,0.626
1,2,1,1,2,0.31615
1,2,1,1,2,0.57322
1,2,1,1,2,0.31454
1,2,1,1,2,0.7186
1,2,1,1,2,0.20341
1,2,1,1,2,0.52045
1,2,1,1,2,0.50704
1,2,1,1,2,0.49412
1,2,1,1,2,0.30913
1,2,1,1,2,0.38506
1,2,1,1,2,0.67601
1,2,1,1,2,0.51648
1,2,1,1,2,0.36667
1,2,1,1,2,0.31866
1,2,1,1,2,0.70157
1,2,1,1,2,0.27922
1,2,1,1,2,0.74762
1,2,1,1,2,0.22112
1,2,1,1,2,0.77724
1,2,1,1,2,0.3273
1,2,1,1,2,0.70423
1,2,1,1,2,0.35931
1,2,1,1,2,0.68161
1,2,1,1,2,0.26057
1,2,1,1,2,0.73427
1,2,1,1,2,0.16706
1,2,1,1,2,0.71932
1,2,1,1,2,0.30566
1,2,1,1,2,0.77314
1,2,1,1,2,0.23704
1,2,1,1,2,0.67457
1,2,1,1,2,0.28264
1,2,1,1,2,0.61799
1,2,1,1,2,0.30059
1,2,1,1,2,0.78784
1,2,1,1,2,0.26304
1,2,1,1,2,0.70928
1,2,1,1,2,0.41929
1,2,1,1,2,0.71198
1,2,1,1,2,0.2606
1,2,1,1,2,0.73333
1,2,1,1,2,0.26255
1,2,1,1,2,0.79487
1,2,1,1,2,0.30453
1,2,1,1,2,0.73325
1,2,1,1,2,0.32108
1,2,1,1,2,0.70263
1,2,1,1,2,0.2943
1,2,1,1,2,0.71298
1,2,1,1,2,0.26066
1,2,1,1,2,0.73806
1,2,1,1,2,0.22431
1,2,1,1,2,0.69896
1,2,1,1,2,0.26818
1,2,1,1,2,0.76104
1,2,1,1,2,0.31452
1,2,1,1,2,0.75057
1,2,1,1,2,0.35943
1,2,1,1,2,0.69322
1,2,1,1,2,0.32277
1,2,1,1,2,0.64785
1,2,1,1,2,0.19633
1,2,1,1,2,0.7414
1,2,1,1,2,0.17364
1,2,1,1,2,0.48423
1,2,1,1,2,0.72479
1,2,1,1,2,0.33704
1,2,1,1,2,0.58746
1,2,1,1,2,0.38122
1,2,1,1,2,0.61394
1,2,1,1,2,0.32826
1,2,1,1,2,0.66763
1,2,1,1,2,0.29185
1,2,1,1,2,0.79548
1,2,1,1,2,0.27397
1,2,1,1,2,0.77874
1,2,1,1,2,0.25363
1,2,1,1,2,0.74459
1,2,1,1,2,0.24437
1,2,1,1,2,0.7
1,2,1,1,2,0.39277
1,2,1,1,2,0.72349
1,2,1,1,2,0.23044
1,2,1,1,2,0.71893
1,2,1,1,2,0.35341
1,2,1,1,2,0.70018
1,2,1,1,2,0.15203
1,2,1,1,2,0.71803
1,2,1,1,2,0.37767
1,2,1,1,2,0.70627
1,2,1,1,2,0.26847
1,2,1,1,2,0.74114
1,2,1,1,2,0.25918
1,2,1,1,2,0.79219
1,2,1,1,2,0.35888
1,2,1,1,2,0.65976
1,2,1,1,2,0.34805
1,2,1,1,2,0.71745
1,2,1,1,2,0.27079
1,2,1,1,2,0.71429
1,2,1,1,2,0.22452
1,2,1,1,2,0.63643
1,2,1,1,2,0.35603
1,2,1,1,2,0.74423
1,2,1,1,2,0.32852
1,2,1,1,2,0.71984
1,2,1,1,2,0.23779
1,2,1,1,2,0.65483
1,2,1,1,2,0.45833
1,2,1,1,2,0.57812
1,2,1,1,2,0.31349
1,2,1,1,2,0.65673
1,2,1,1,2,0.26499
1,2,1,1,2,0.63784
1,2,1,1,2,0.30444
1,2,1,1,2,0.6303
1,2,1,1,2,0.43686
1,2,1,1,2,0.57426
1,2,1,1,2,0.33333
1,2,1,1,2,0.39913
1,2,1,1,2,0.58572
1,2,1,1,2,0.30972
1,2,1,1,2,0.49194
1,2,1,1,2,0.42056
1,2,1,1,2,0.44444
1,2,1,1,2,0.5
1,2,1,1,2,0.71478
1,2,1,1,2,0.27504
1,2,1,1,2,0.71438
1,2,1,1,2,0.28919
1,2,1,1,2,0.67244
1,2,1,1,2,0.23102
1,2,1,1,2,0.59656
1,2,1,1,2,0.30057
1,2,1,1,2,0.61071
1,2,1,1,2,0.56115
1,2,1,1,2,0.39106
1,2,1,1,2,0.33835
1,2,1,1,2,0.59802
1,2,1,1,2,0.33096
1,2,1,1,2,0.64539
1,2,1,1,2,0.28445
1,2,1,1,2,0.75892
1,2,1,1,2,0.2959
1,2,1,1,2,0.6262
1,2,1,1,2,0.33488
1,2,1,1,2,0.75074
1,2,1,1,2,0.19534
1,2,1,1,2,0.6792
1,2,1,1,2,0.33406
1,2,1,1,2,0.68792
1,2,1,1,2,0.34613
1,2,1,1,2,0.70927
1,2,1,1,2,0.36235
1,2,1,1,2,0.67692
1,2,1,1,2,0.29823
1,2,1,1,2,0.68793
1,2,1,1,2,0.29561
1,2,1,1,2,0.79917
1,2,1,1,2,0.22915
1,2,1,1,2,0.69802
1,2,1,1,2,0.27844
1,2,1,1,2,0.66807
1,2,1,1,2,0.26142
1,2,1,1,2,0.69496
1,2,1,1,2,0.30864
1,2,1,1,2,0.6851
1,2,1,1,2,0.20399
1,2,1,1,2,0.71615
1,2,1,1,2,0.34609
1,2,1,1,2,0.70417
1,2,1,1,2,0.27205
1,2,1,1,2,0.70411
1,2,1,1,2,0.25379
1,2,1,1,2,0.626
1,2,1,1,2,0.31615
1,2,1,1,2,0.57322
1,2,1,1,2,0.31454
1,2,1,1,2,0.7186
1,2,1,1,2,0.20341
1,2,1,2,1,0.27789
1,2,1,2,1,0.52769
1,2,1,2,1,0.34552
1,2,1,2,1,0.49474
1,2,1,2,1,0.49458
1,2,1,2,1,0.64725
1,2,1,2,1,0.55814
1,2,1,2,1,0.31034
1,2,1,2,1,0.26164
1,2,1,2,1,0.61555
1,2,1,2,1,0.36069
1,2,1,2,1,0.67843
1,2,1,2,1,0.29403
1,2,1,2,1,0.5876
1,2,1,2,1,0.29026
1,2,1,2,1,0.59299
1,2,1,2,1,0.41972
1,2,1,2,1,0.64751
1,2,1,2,1,0.36823
1,2,1,2,1,0.68339
1,2,1,2,1,0.36273
1,2,1,2,1,0.74403
1,2,1,2,1,0.36707
1,2,1,2,1,0.65155
1,2,1,2,1,0.30403
1,2,1,2,1,0.63788
1,2,1,2,1,0.27543
1,2,1,2,1,0.66667
1,2,1,2,1,0.40277
1,2,1,2,1,0.44361
1,2,1,2,1,0.59516
1,2,1,2,1,0.66964
1,2,1,2,1,0.50805
1,2,1,2,1,0.73394
1,2,1,2,1,0.51875
1,2,1,2,1,0.66151
1,2,1,2,1,0.62264
1,2,1,2,1,0.42857
1,2,1,2,1,0.26905
1,2,1,2,1,0.45517
1,2,1,2,1,0.32685
1,2,1,2,1,0.56639
1,2,1,2,1,0.37271
1,2,1,2,1,0.5
1,2,1,2,1,0.51751
1,2,1,2,1,0.56588
1,2,1,2,1,0.65591
1,2,1,2,1,0.45763
1,2,1,2,1,0.36602
1,2,1,2,1,0.63525
1,2,1,2,1,0.45165
1,2,1,2,1,0.54362
1,2,1,2,1,0.58824
1,2,1,2,1,0.72579
1,2,1,2,1,0.33301
1,2,1,2,1,0.75313
1,2,1,2,1,0.40438
1,2,1,2,1,0.62602
1,2,1,2,1,0.45875
1,2,1,2,1,0.60614
1,2,1,2,1,0.30103
1,2,1,2,1,0.68152
1,2,1,2,1,0.57407
1,2,1,2,1,0.42353
1,2,1,2,1,0.31504
1,2,1,2,1,0.60153
1,2,1,2,1,0.39226
1,2,1,2,1,0.77632
1,2,1,2,1,0.38847
1,2,1,2,1,0.62294
1,2,1,2,1,0.25076
1,2,1,2,1,0.66532
1,2,1,2,1,0.39603
1,2,1,2,1,0.69261
1,2,1,2,1,0.37778
1,2,1,2,1,0.54404
1,2,1,2,1,0.35102
1,2,1,2,1,0.63846
1,2,1,2,1,0.42242
1,2,1,2,1,0.6033
1,2,1,2,1,0.30638
1,2,1,2,1,0.5267
1,2,1,2,1,0.5
1,2,1,2,1,0.46239
1,2,1,2,1,0.61979
1,2,1,2,1,0.33189
1,2,1,2,1,0.6523
1,2,1,2,1,0.35785
1,2,1,2,1,0.61878
1,2,1,2,1,0.33001
1,2,1,2,1,0.62227
1,2,1,2,1,0.29026
1,2,1,2,1,0.72396
1,2,1,2,1,0.33207
1,2,1,2,1,0.73724
1,2,1,2,1,0.29449
1,2,1,2,1,0.60747
1,2,1,2,1,0.38185
1,2,1,2,1,0.62289
1,2,1,2,1,0.31117
1,2,1,2,1,0.64721
1,2,1,2,1,0.28419
1,2,1,2,1,0.62288
1,2,1,2,1,0.36621
1,2,1,2,1,0.61673
1,2,1,2,1,0.31211
1,2,1,2,1,0.66964
1,2,1,2,1,0.26325
1,2,1,2,1,0.70206
1,2,1,2,1,0.30952
1,2,1,2,1,0.68228
1,2,1,2,1,0.37867
1,2,1,2,1,0.66909
1,2,1,2,1,0.33714
1,2,1,2,1,0.62205
1,2,1,2,1,0.25532
1,2,1,2,1,0.63641
1,2,1,2,1,0.26381
1,2,1,2,1,0.59854
1,2,1,2,1,0.64662
1,2,1,2,1,0.71067
1,2,1,2,1,0.19208
1,2,1,2,1,0.60973
1,2,1,2,1,0.25459
1,2,1,2,1,0.63975
1,2,1,2,1,0.32581
1,2,1,2,1,0.7004
1,2,1,2,1,0.32564
1,2,1,2,1,0.69957
1,2,1,2,1,0.21301
1,2,1,2,1,0.53827
1,2,1,2,1,0.28282
1,2,1,2,1,0.74703
1,2,1,2,1,0.33281
1,2,1,2,1,0.66374
1,2,1,2,1,0.32546
1,2,1,2,1,0.71824
1,2,1,2,1,0.34478
1,2,1,2,1,0.68374
1,2,1,2,1,0.57055
1,2,1,2,1,0.58716
1,2,1,2,1,0.4304
