grp , pp , S , IDR , IDL , q2R
1,2,1,1,1,0.44707
1,2,1,1,1,0.43202
1,2,1,1,1,0.55333
1,2,1,1,1,0.44707
1,2,1,1,1,0.43202
1,2,1,1,1,0.55333
1,2,1,1,2,0.51188
1,2,1,1,2,0.49552
1,2,1,1,2,0.438
1,2,1,1,2,0.51188
1,2,1,1,2,0.49552
1,2,1,1,2,0.438
1,2,1,2,1,0.5312
1,2,1,2,1,0.50012
1,2,1,2,1,0.56527
1,2,1,2,1,0.5312
1,2,1,2,1,0.50012
1,2,1,2,1,0.56527
1,2,1,2,2,0.49207
1,2,1,2,2,0.42028
1,2,1,2,2,0.57513
1,2,1,2,2,0.49207
1,2,1,2,2,0.42028
1,2,1,2,2,0.57513
1,2,1,3,1,0.58342
1,2,1,3,1,0.58357
1,2,1,3,1,0.6157
1,2,1,3,1,0.58342
1,2,1,3,1,0.58357
1,2,1,3,1,0.6157
1,2,1,3,2,0.68446
1,2,1,3,2,0.8972
1,2,1,3,2,0.82268
1,2,1,3,2,0.68446
1,2,1,3,2,0.8972
1,2,1,3,2,0.82268
1,2,4,1,1,0.51333
1,2,4,1,1,0.37656
1,2,4,1,1,0.44162
1,2,4,1,1,0.51333
1,2,4,1,1,0.37656
1,2,4,1,1,0.44162
1,2,4,1,2,0.60474
1,2,4,1,2,0.50526
1,2,4,1,2,0.5465
1,2,4,1,2,0.60474
1,2,4,1,2,0.50526
1,2,4,1,2,0.5465
1,2,4,2,1,0.43579
1,2,4,2,1,0.41027
1,2,4,2,1,0.44514
1,2,4,2,1,0.43579
1,2,4,2,1,0.41027
1,2,4,2,1,0.44514
1,2,4,2,2,0.8704
1,2,4,2,2,0.94053
1,2,4,2,2,0.89422
1,2,4,2,2,0.8704
1,2,4,2,2,0.94053
1,2,4,2,2,0.89422
1,2,4,3,1,0.54859
1,2,4,3,1,0.60947
1,2,4,3,1,0.67294
1,2,4,3,1,0.54859
1,2,4,3,1,0.60947
1,2,4,3,1,0.67294
1,2,4,3,2,0.86299
1,2,4,3,2,1.0295
1,2,4,3,2,0.88697
1,2,4,3,2,0.86299
1,2,4,3,2,1.0295
1,2,4,3,2,0.88697
1,2,7,1,1,0.53016
1,2,7,1,1,0.47947
1,2,7,1,1,0.57837
1,2,7,1,1,0.53016
1,2,7,1,1,0.47947
1,2,7,1,1,0.57837
1,2,7,1,2,0.51763
1,2,7,1,2,0.48433
1,2,7,1,2,0.36553
1,2,7,1,2,0.51763
1,2,7,1,2,0.48433
1,2,7,1,2,0.36553
1,2,7,2,1,0.40276
1,2,7,2,1,0.40334
1,2,7,2,1,0.40162
1,2,7,2,1,0.40276
1,2,7,2,1,0.40334
1,2,7,2,1,0.40162
1,2,7,2,2,0.8332
1,2,7,2,2,0.82441
1,2,7,2,2,0.86598
1,2,7,2,2,0.8332
1,2,7,2,2,0.82441
1,2,7,2,2,0.86598
1,2,7,3,1,0.46324
1,2,7,3,1,0.50087
1,2,7,3,1,0.59824
1,2,7,3,1,0.46324
1,2,7,3,1,0.50087
1,2,7,3,1,0.59824
1,2,7,3,2,0.88868
1,2,7,3,2,0.942
1,2,7,3,2,0.98046
1,2,7,3,2,0.88868
1,2,7,3,2,0.942
1,2,7,3,2,0.98046
