group , participant , session , IDRight , IDLeft , value
1,8,4,1,2,0.028827
1,8,4,2,1,0.025302
1,8,4,2,1,0.032024
1,8,4,2,1,0.033134
1,8,4,2,2,0.077395
1,8,4,2,2,0.087699
1,8,4,2,2,0.10365
1,8,4,3,1,0.041692
1,8,4,3,1,0.033194
1,8,4,3,1,0.034455
1,8,4,3,2,0.15266
1,8,4,3,2,0.16705
1,8,4,3,2,0.17421
1,8,7,1,1,0.024706
1,8,7,1,1,0.022361
1,8,7,1,1,0.026513
1,8,7,1,2,0.033679
1,8,7,1,2,0.045252
1,8,7,1,2,0.038798
1,8,7,2,1,0.031013
1,8,7,2,1,0.03421
1,8,7,2,1,0.032397
1,8,7,2,2,0.094581
1,8,7,2,2,0.1032
1,8,7,2,2,0.10312
1,8,7,3,1,0.03676
1,8,7,3,1,0.04579
1,8,7,3,1,0.039221
1,8,7,3,2,0.1761
1,8,7,3,2,0.17664
1,8,7,3,2,0.17643
1,9,1,1,1,0.023628
1,9,1,1,1,0.039851
1,9,1,1,1,0.026003
1,9,1,1,2,0.035578
1,9,1,1,2,0.029979
1,9,1,1,2,0.035512
1,9,1,2,1,0.033435
1,9,1,2,1,0.029492
1,9,1,2,1,0.037704
1,9,1,2,2,0.063413
1,9,1,2,2,0.051563
1,9,1,2,2,0.06598
1,9,1,3,1,0.050348
1,9,1,3,1,0.035965
1,9,1,3,1,0.066896
1,9,1,3,2,0.081943
1,9,1,3,2,0.12036
1,9,1,3,2,0.16526
1,9,4,1,1,0.03637
1,9,4,1,1,0.033711
1,9,4,1,1,0.029982
1,9,4,1,2,0.046126
1,9,4,1,2,0.083381
1,9,4,1,2,0.043319
1,9,4,2,1,0.064284
1,9,4,2,1,0.039483
1,9,4,2,1,0.03787
1,9,4,2,2,0.11082
1,9,4,2,2,0.14435
1,9,4,2,2,0.10243
1,9,4,3,1,0.049249
1,9,4,3,1,0.048011
1,9,4,3,1,0.068946
1,9,4,3,2,0.15252
1,9,4,3,2,0.15568
1,9,4,3,2,0.15892
1,9,7,1,1,0.036965
1,9,7,1,1,0.029688
1,9,7,1,1,0.024895
1,9,7,1,2,0.042304
1,9,7,1,2,0.044602
1,9,7,1,2,0.072104
1,9,7,2,1,0.048512
1,9,7,2,1,0.033553
1,9,7,2,1,0.043202
1,9,7,2,2,0.10175
1,9,7,2,2,0.11467
1,9,7,2,2,0.10468
1,9,7,3,1,0.055057
1,9,7,3,1,0.06735
1,9,7,3,1,0.055583
1,9,7,3,2,0.13654
1,9,7,3,2,0.15878
1,9,7,3,2,0.17616
2,1,1,1,1,0.024554
2,1,1,1,1,0.014497
2,1,1,1,1,0.016634
2,1,1,1,2,0.042804
2,1,1,1,2,0.031151
2,1,1,1,2,0.053052
2,1,1,2,1,0.040062
2,1,1,2,1,0.032954
2,1,1,2,1,0.028625
2,1,1,2,2,0.047249
2,1,1,2,2,0.05287
2,1,1,2,2,0.060237
2,1,1,3,1,0.068802
2,1,1,3,1,0.070896
2,1,1,3,1,0.039915
2,1,1,3,2,0.11968
2,1,1,3,2,0.12587
2,1,1,3,2,0.1754
2,1,4,1,1,0.014458
2,1,4,1,1,0.022277
2,1,4,1,1,0.020498
2,1,4,1,2,0.029337
2,1,4,1,2,0.035988
2,1,4,1,2,0.043274
2,1,4,2,1,0.038262
2,1,4,2,1,0.037808
2,1,4,2,1,0.044191
2,1,4,2,2,0.078935
2,1,4,2,2,0.055457
2,1,4,2,2,0.060739
2,1,4,3,1,0.03329
2,1,4,3,1,0.04962
2,1,4,3,1,0.036402
2,1,4,3,2,0.089706
2,1,4,3,2,0.15288
2,1,4,3,2,0.16534
2,1,7,1,1,0.024291
2,1,7,1,1,0.030101
2,1,7,1,1,0.03287
2,1,7,1,2,0.01811
2,1,7,1,2,0.013866
2,1,7,1,2,0.022493
2,1,7,2,1,0.03801
2,1,7,2,1,0.041513
2,1,7,2,1,0.049107
2,1,7,2,2,0.018964
2,1,7,2,2,0.055652
2,1,7,2,2,0.037903
2,1,7,3,1,8.1373e-06
2,1,7,3,1,5.5766e-06
2,1,7,3,1,7.6742e-06
2,1,7,3,2,0.16359
2,1,7,3,2,0.17099
2,1,7,3,2,0.1756
2,4,1,1,1,0.024733
2,4,1,1,1,0.021989
2,4,1,1,1,0.025583
2,4,1,1,2,0.028658
2,4,1,1,2,0.033034
2,4,1,1,2,0.036734
2,4,1,2,1,0.029425
2,4,1,2,1,0.028667
2,4,1,2,1,0.022269
2,4,1,2,2,0.062931
2,4,1,2,2,0.068133
2,4,1,2,2,0.063677
2,4,1,3,1,0.022767
2,4,1,3,1,0.037096
2,4,1,3,1,0.031825
2,4,1,3,2,0.080575
2,4,1,3,2,0.074487
2,4,1,3,2,0.14161
2,4,4,1,1,0.02983
2,4,4,1,1,0.029853
2,4,4,1,1,0.029187
2,4,4,1,2,0.024751
