group , participant , session , IDRight , IDLeft , value
1,8,4,2,2,0.86388
1,8,4,2,2,0.85449
1,8,4,2,2,1.0231
1,8,4,3,1,0.36851
1,8,4,3,1,0.38069
1,8,4,3,1,0.34981
1,8,4,3,2,0
1,8,4,3,2,0
1,8,4,3,2,0
1,8,7,1,1,0.33967
1,8,7,1,1,0.33908
1,8,7,1,1,0.37202
1,8,7,1,2,0.49825
1,8,7,1,2,0.41316
1,8,7,1,2,0.47789
1,8,7,2,1,0.36621
1,8,7,2,1,0.39062
1,8,7,2,1,0.37287
1,8,7,2,2,0.89164
1,8,7,2,2,0.9341
1,8,7,2,2,1.0254
1,8,7,3,1,0.44222
1,8,7,3,1,0.44389
1,8,7,3,1,0.42832
1,8,7,3,2,0
1,8,7,3,2,0
1,8,7,3,2,0
1,9,1,1,1,0.24152
1,9,1,1,1,0.2585
1,9,1,1,1,0.23895
1,9,1,1,2,0.34877
1,9,1,1,2,0.39354
1,9,1,1,2,0.40838
1,9,1,2,1,0.30353
1,9,1,2,1,0.29151
1,9,1,2,1,0.32106
1,9,1,2,2,0.54783
1,9,1,2,2,0.64174
1,9,1,2,2,0.73982
1,9,1,3,1,0.34652
1,9,1,3,1,0.36951
1,9,1,3,1,0.38365
1,9,1,3,2,0.66817
1,9,1,3,2,0.93587
1,9,1,3,2,0
1,9,4,1,1,0.36227
1,9,4,1,1,0.35979
1,9,4,1,1,0.32066
1,9,4,1,2,0.42379
1,9,4,1,2,0.50781
1,9,4,1,2,0.51048
1,9,4,2,1,0.45211
1,9,4,2,1,0.43403
1,9,4,2,1,0.39438
1,9,4,2,2,1.0696
1,9,4,2,2,0
1,9,4,2,2,1.0254
1,9,4,3,1,0.41853
1,9,4,3,1,0.46064
1,9,4,3,1,0.48828
1,9,4,3,2,0
1,9,4,3,2,0
1,9,4,3,2,0
1,9,7,1,1,0.35383
1,9,7,1,1,0.32552
1,9,7,1,1,0.33854
1,9,7,1,2,0.47907
1,9,7,1,2,0.42969
1,9,7,1,2,0.47743
1,9,7,2,1,0.39062
1,9,7,2,1,0.40023
1,9,7,2,1,0.42614
1,9,7,2,2,0.97656
1,9,7,2,2,0.9341
1,9,7,2,2,1.1161
1,9,7,3,1,0.46705
1,9,7,3,1,0.47743
1,9,7,3,1,0.45711
1,9,7,3,2,0
1,9,7,3,2,0
1,9,7,3,2,0
2,1,1,1,1,0.23129
2,1,1,1,1,0.20812
2,1,1,1,1,0.19531
2,1,1,1,2,0.41853
2,1,1,1,2,0.36621
2,1,1,1,2,0.39062
2,1,1,2,1,0.28529
2,1,1,2,1,0.32106
2,1,1,2,1,0.29839
2,1,1,2,2,0.45072
2,1,1,2,2,0.63477
2,1,1,2,2,0.59048
2,1,1,3,1,0.35652
2,1,1,3,1,0.36058
2,1,1,3,1,0.3418
2,1,1,3,2,1.1822
2,1,1,3,2,0.97656
2,1,1,3,2,0
2,1,4,1,1,0.23542
2,1,4,1,1,0.30518
2,1,4,1,1,0.27902
2,1,4,1,2,0.46064
2,1,4,1,2,0.41853
2,1,4,1,2,0.48828
2,1,4,2,1,0.32018
2,1,4,2,1,0.43035
2,1,4,2,1,0.42093
2,1,4,2,2,0.64248
2,1,4,2,2,0.65104
2,1,4,2,2,0.69754
2,1,4,3,1,0.40023
2,1,4,3,1,0.45461
2,1,4,3,1,0.43597
2,1,4,3,2,0.9375
2,1,4,3,2,0
2,1,4,3,2,0
2,1,7,1,1,0.32552
2,1,7,1,1,0.31346
2,1,7,1,1,0.35095
2,1,7,1,2,0.28796
2,1,7,1,2,0.28212
2,1,7,1,2,0.28238
2,1,7,2,1,0.40109
2,1,7,2,1,0.40838
2,1,7,2,1,0.43634
2,1,7,2,2,0.39725
2,1,7,2,2,0.51818
2,1,7,2,2,0.47084
2,1,7,3,1,1.0733
2,1,7,3,1,1.0308
2,1,7,3,1,1.1335
2,1,7,3,2,0
2,1,7,3,2,0
2,1,7,3,2,0
2,4,1,1,1,0.21701
2,4,1,1,1,0.21612
2,4,1,1,1,0.17188
2,4,1,1,2,0.36119
2,4,1,1,2,0.39673
2,4,1,1,2,0.42093
2,4,1,2,1,0.29297
2,4,1,2,1,0.29668
2,4,1,2,1,0.27466
2,4,1,2,2,0.62145
2,4,1,2,2,0.65104
2,4,1,2,2,0.65984
2,4,1,3,1,0.28529
2,4,1,3,1,0.32552
2,4,1,3,1,0.33346
2,4,1,3,2,0.84635
2,4,1,3,2,0.87554
2,4,1,3,2,0
2,4,4,1,1,0.28796
2,4,4,1,1,0.29431
2,4,4,1,1,0.28796
2,4,4,1,2,0.27599
2,4,4,1,2,0.26367
2,4,4,1,2,0.24957
2,4,4,2,1,0.33444
2,4,4,2,1,0.33409
2,4,4,2,1,0.33854
2,4,4,2,2,0.34782
2,4,4,2,2,0.27391
2,4,4,2,2,0.28853
2,4,4,3,1,0.8667
2,4,4,3,1,0.89404
2,4,4,3,1,0.88542
2,4,4,3,2,1.3021
2,4,4,3,2,0
2,4,4,3,2,0
2,4,7,1,1,0.23129
2,4,7,1,1,0.23353
2,4,7,1,1,0.23872
2,4,7,1,2,0.24982
2,4,7,1,2,0.25139
2,4,7,1,2,0.25959
2,4,7,2,1,0.48491
2,4,7,2,1,0.58735
2,4,7,2,1,0.60369
2,4,7,2,2,0.34312
2,4,7,2,2,0.30141
2,4,7,2,2,0.3214
2,4,7,3,1,0.8724
2,4,7,3,1,0.82894
2,4,7,3,1,0.91773
2,4,7,3,2,1.3877
2,4,7,3,2,0
2,4,7,3,2,0
2,5,1,1,1,0.29524
2,5,1,1,1,0.26537
2,5,1,1,1,0.2762
2,5,1,1,2,0.23916
2,5,1,1,2,0
2,5,1,1,2,0.2866
2,5,1,2,1,0.68091
2,5,1,2,1,0.49913
2,5,1,2,1,0.51048
2,5,1,2,2,0
2,5,1,2,2,0.38471
2,5,1,2,2,0
2,5,1,3,1,1.1745
2,5,1,3,1,1.2004
2,5,1,3,1,1.2157
2,5,1,3,2,0
2,5,1,3,2,0.97656
2,5,1,3,2,0
2,5,4,1,1,0.29185
2,5,4,1,1,0.30048
2,5,4,1,1,0.39378
2,5,4,1,2,0.36821
2,5,4,1,2,0.34981
2,5,4,1,2,0.41199
2,5,4,2,1,0.78574
2,5,4,2,1,0.74737
2,5,4,2,1,0.79346
2,5,4,2,2,0.66817
2,5,4,2,2,0.63345
2,5,4,2,2,0.57592
2,5,4,3,1,1.1843
2,5,4,3,1,1.1772
2,5,4,3,1,1.237
2,5,4,3,2,1.2556
2,5,4,3,2,1.3428
2,5,4,3,2,0
2,5,7,1,1,0.39062
2,5,7,1,1,0.33053
2,5,7,1,1,0.37692
2,5,7,1,2,0.45211
2,5,7,1,2,0.39725
2,5,7,1,2,0.48828
2,5,7,2,1,0.63119
2,5,7,2,1,0.8904
2,5,7,2,1,0.8138
2,5,7,2,2,0.76294
2,5,7,2,2,0.57706
2,5,7,2,2,0.68934
2,5,7,3,1,1.0728
2,5,7,3,1,1.0776
2,5,7,3,1,1.2207
2,5,7,3,2,0
2,5,7,3,2,0
2,5,7,3,2,0
2,7,1,1,1,0.21798
2,7,1,1,1,0.24414
2,7,1,1,1,0.26117
2,7,1,1,2,0.40109
2,7,1,1,2,0.37042
2,7,1,1,2,0.36621
2,7,1,2,1,0.28935
2,7,1,2,1,0.2585
2,7,1,2,1,0.23304
2,7,1,2,2,0.62391
2,7,1,2,2,0.76294
2,7,1,2,2,0.63189
2,7,1,3,1,0.37435
2,7,1,3,1,0.36439
2,7,1,3,1,0.32552
2,7,1,3,2,0
2,7,1,3,2,0.97656
2,7,1,3,2,1.0696
2,7,4,1,1,0.33104
2,7,4,1,1,0.32124
2,7,4,1,1,0.33053
2,7,4,1,2,0.46794
2,7,4,1,2,0.45839
2,7,4,1,2,0.42459
2,7,4,2,1,0.40109
2,7,4,2,1,0.34555
2,7,4,2,1,0.35511
2,7,4,2,2,0
2,7,4,2,2,0.93587
2,7,4,2,2,1.1308
2,7,4,3,1,1.0653
2,7,4,3,1,1.1393
2,7,4,3,1,1.0839
2,7,4,3,2,0
2,7,4,3,2,0
2,7,4,3,2,0
2,7,7,1,1,0.28853
2,7,7,1,1,0.30768
2,7,7,1,1,0.31595
2,7,7,1,2,0.31672
2,7,7,1,2,0.30438
2,7,7,1,2,0.28076
2,7,7,2,1,0.66873
2,7,7,2,1,0.69754
2,7,7,2,1,0.68592
2,7,7,2,2,0.39786
2,7,7,2,2,0.62391
2,7,7,2,2,0.69754
2,7,7,3,1,1.0812
2,7,7,3,1,1.0764
2,7,7,3,1,1.1004
2,7,7,3,2,0
2,7,7,3,2,0
2,7,7,3,2,0
2,10,1,1,1,0.24027
2,10,1,1,1,0.20012
2,10,1,1,1,0.22051
2,10,1,1,2,0.35631
2,10,1,1,2,0.33444
2,10,1,1,2,0.22755
2,10,1,2,1,0.33053
2,10,1,2,1,0.23572
2,10,1,2,1,0.21502
2,10,1,2,2,0.43846
2,10,1,2,2,0.36821
2,10,1,2,2,0.37339
2,10,1,3,1,0.29431
2,10,1,3,1,0.24414
2,10,1,3,1,0.27599
2,10,1,3,2,0.56966
2,10,1,3,2,0.61035
2,10,1,3,2,0.66154
2,10,4,1,1,0.28975
2,10,4,1,1,0.24695
2,10,4,1,1,0.23251
2,10,4,1,2,0.34265
2,10,4,1,2,0.29452
